"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","Class_7","Class_8","model"
-45.7955871853018,-11.4557501330186,-43.4256500420102,-18.5639407026375,-20.9732975919248,-42.9294387663082,-112.319321399676,-37.6820112890595,-14.1059482023087
-5.76947820971295,-3.71631163281249,-4.26741046695628,-1.55063411408983,-3.26285164154259,-2.64434670004624,-14.1662301678373,-7.8925400533237,-1.91138110586583
-16.0989380555131,-4.46629106424182,-6.54121044605139,-11.0384323094291,-9.22046812005811,-7.88458792227236,-6.98784816241809,-201.564417873248,-5.46252026101431
-27.3598551697901,-18.521889532105,-41.1185270863654,-21.4183619562261,-13.6951813860486,-22.0701148844969,-114.826660513496,-543.899467531049,-15.7245768324616
-19.4275919262334,-37.6898141257132,-31.2740866566099,-38.4555338394579,-27.1015630034695,-33.3868707726201,-201.893243298812,-736.241432466084,-24.0566934436777
-7.02796252574856,-4.0292574506773,-6.77230092845304,-7.0240904038237,-2.54525939042986,-5.76092567060448,-18.4765252610466,-89.4808438443386,-2.97826354844449
-36.4788353442063,-12.7461227510185,-25.9239495045921,-16.0434334794717,-10.9997431288177,-16.0741772426434,-17.0793191819256,-Inf,-12.3895521449645
-2.90855048394748,-1.99678970110004,-4.06961063880962,-3.94821693494689,-3.10689349497643,-4.89451441203614,-8.51339451862314,-17.1908507927654,-2.2868151337032
-5.116575506643,-1.16494522183739,-4.12220866467083,-2.66037015017111,-2.79046700744958,-4.13831258244646,-1.59040986691701,-69.2616940423619,-1.4483106228877
-4.24338942473581,-3.57765391863886,-3.0730819020358,-3.37451735949556,-4.14844312019798,-2.17119898587189,-10.2370385569992,-16.4770013622524,-2.68298317256858
-14.4286555880444,-13.8806030222392,-13.3231676962774,-4.55172008561516,-9.23392168332451,-8.29926670678906,-84.952123533947,-21.7201112288715,-5.61989313849247
-11.6161149346831,-5.9641680064159,-10.2452972175861,-3.47787938593732,-7.71226088802005,-5.93986188006034,-21.1794979121786,-98.8059346283611,-4.26339592501444
-10.5989975628012,-4.04383872062046,-7.68549598509886,-3.61307987547617,-4.04365979374582,-3.76423135337073,-26.0539252552682,-25.7099230032555,-3.96835022641662
-17.6085930233212,-5.53583730980776,-14.5059429237592,-12.874946903303,-5.84228113400332,-8.71643810766416,-27.6621259581938,-Inf,-6.09509200170794
-59.9934745728827,-50.3188060815487,-80.8491476880034,-53.270787068308,-20.5963276134857,-46.3872996138372,-454.330521145383,-52.8168474686315,-23.9244609250421
-7.13295994943349,-2.01503299034249,-3.94802305474923,-4.06147568392687,-3.82356065145979,-3.98437800086889,-0.264083877493489,-139.870391378308,-0.787784287283348
