"veh_id","Price","Acceleration","OpCost","hev","phev20","phev40","bev","bevRangeRel","noBEVFC","american","chinese","japanese","skorean","icev_nest_indicator","hev_nest_indicator","phev_nest_indicator","bev_nest_indicator","created_alternative"
"BMW_1533_car",57.5722489432545,3.660582109723,12.0617334021568,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1534_car",42.9646325510553,6.29614154234271,9.81629479765115,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1535_car",48.9738169975944,7.15955850897549,9.9405559331213,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1536_car",37.5157766499543,8.0171343234671,10.8825148919044,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1537_car",35.4256359773064,7.65854318380854,10.0584199188053,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1538_car",61.711846993907,5.81530491415516,10.9566463208902,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BMW_1539_car",59.3387219803327,5.54523821836109,9.97180066978244,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BMW_1540_car",109.407572495474,3.66347799563451,12.8378493522931,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1541_car",37.4827270236414,9.14483980213177,10.9721842567671,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1542_car",75.2891202006809,5.34514907560629,13.094036856928,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1543_car",43.0072868938147,7.60306777212507,11.1291784929523,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1544_car",74.8771850357487,5.03058132410587,12.1498562612281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1545_car",31.9257813816555,8.56738482793408,9.41694310884208,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1546_car",32.0804329041503,8.96428606023728,9.86327823670213,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1547_car",29.345867225066,13.5499373457465,9.41940185927789,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1548_car",36.7115062556044,7.5796155656302,10.0077677330738,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1549_car",56.1818870142987,5.89684553415991,12.0333989691686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1550_car",55.2584701030269,7.43251118428547,10.1417724309267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1551_car",31.6521963620622,7.86841575586207,9.11162477781032,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
