"Class_1","Class_2","model"
-4.94953335575052,-4.79344943856744,-4.87584474430634
-2.64597067372075,-4.09644001038528,-2.77893998052167
-46.6313643186584,-41.1879975717489,-43.7102040374123
-61.0966346478256,-70.9328852868801,-63.2233639492075
-11.3157625142822,-4.43916991987491,-5.43871512329351
-2.56923958920329,-0.955985955981547,-1.14297901732829
-30.1601627512519,-30.5254142382858,-30.3005385904128
-2.52915072738428,-1.52428875648444,-1.7042202219081
-8.16546276482812,-8.96957792850395,-8.3609565547946
-2.07623321183401,-3.19921585980498,-2.18170771354307
-3.74688026750595,-7.50331181887498,-3.89865833274772
-4.21566016555168,-4.97163223407376,-4.35258239943927
-5.48230211092986,-6.29944560471801,-5.67935275143189
-3.65302029265407,-4.16061662410609,-3.77135176429558
-11.3763040122084,-7.40453835067442,-8.16692733907755
-3.90925128012623,-1.86373973971642,-2.1156150982741
-15.3871348349504,-9.11928968719047,-10.0342854313078
-9.79813299635557,-13.1134392008622,-10.1254137242285
-16.3345513028888,-19.0572582894215,-16.8417303455228
-1.95238346580031,-0.691931005166288,-0.873260570559198
-7.60156098453153,-5.48848669015956,-6.04955313328879
-6.98248540499957,-4.7312622895905,-5.33727909771383
-4.93377871936859,-3.87485440070373,-4.21348955698
-2.21852632596732,-2.66776707074559,-2.30783602910306
-4.85809378141942,-9.49677912125382,-5.07606698454307
-4.9287735062736,-2.04454832761095,-2.43968132553129
-9.81954716407033,-6.77018462508672,-7.61770661649409
-10.1236598408391,-7.86382058208833,-8.67382281983249
-5.11969919370533,-3.81262963830024,-4.20065019476001
-2.35143072525238,-2.93777484102834,-2.44746131719288
-16.6209689392137,-12.2590623371455,-13.1254963826204
-1.94735638770334,-1.33965041143319,-1.51143500654529
-2.53200324937342,-4.439575287081,-2.63508801638487
-14.7135555145432,-5.57032345120803,-6.68968240806259
-6.87388783922025,-3.08946721463513,-3.48534884626165
-6.56693175743451,-6.97183775056841,-6.68755690999084
-25.2128967060522,-20.044878970761,-21.5519803105013
-4.05043372006138,-7.74188525208207,-4.19161169064937
-3.95993707287351,-7.08936643493692,-4.06303153939379
-47.7427119996355,-65.6654966536775,-50.2273654619877
-5.8018834038227,-5.91107264979011,-5.84172340130978
-3.28717498771454,-3.34019145086113,-3.30687196269626
-63.0974093949259,-160.241654847432,-65.6747715856607
-15.7247400166552,-25.118478757504,-16.3082317452929
-8.21249378797289,-11.3235051734387,-8.53886811179177
-7.42810059613262,-14.4957334409314,-7.68871827987243
-3.44107075134716,-4.35910384731691,-3.57585616918297
-2.30006019083003,-1.45451934006288,-1.6321122115652
-2.35511288927932,-1.03501638733178,-1.21648572364636
-2.39699719024474,-1.47893467284176,-1.65781938655825
-9.01461782917557,-6.36172907949782,-6.92854391459337
-9.60644070140876,-19.9142395005957,-9.97494872274104
-4.44921511930298,-8.25716696696365,-4.59039317955233
-9.98197593724497,-13.0480578812731,-10.206186575081
-86.8258724678673,-172.261673854024,-89.4032345429563
-3.88017743806825,-5.26190797648277,-4.030142183741
-18.2697274941117,-17.5736560035964,-17.9286534292299
-4.52803768512731,-8.24162216663018,-4.77189412861086
-8.89636865023085,-13.9420310797327,-9.19272874646661
-8.29902371011917,-12.3649615095685,-8.62797153703002
-2.5370711677344,-1.55831704339067,-1.7379793846461
-3.31757083057087,-5.44929857446616,-3.42363175942459
-3.10565312498116,-5.3783838753631,-3.25734351551306
-4.91707307353947,-3.14444036414681,-3.51960818219645
-15.376040793692,-19.9158672965884,-15.8792337812176
-3.68356362783934,-6.00855153276612,-3.83526836717807
-2.19718645259869,-2.61882504725272,-2.28453453988733
-13.2488754081362,-14.2541475184614,-13.4984224206455
-7.05379830755438,-9.78370397919691,-7.2713284407238
-2.66275985113521,-1.29064052154773,-1.47220204499569
-5.37985855790587,-5.65593487996244,-5.47059417596071
-15.1285339556362,-30.74801593618,-15.628700425068
-2.23238848793015,-1.36675325370405,-1.54475124407413
-18.4382661695063,-11.247242209387,-12.1640385940723
-3.24475503801844,-2.26750318408306,-2.49473835589387
-2.74877652522048,-2.8733403484647,-2.79011186524625
-3.07979147606983,-1.33633533788003,-1.58469480529537
-10.4666730091825,-17.8987867178615,-10.8351665642536
