"row_num","gen_method","b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","lambda_ICE_1","lambda_BEV_1","alpha_PHEV_ICE_logistic_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","lambda_ICE_2","lambda_BEV_2","alpha_PHEV_ICE_logistic_2","class_intercept_2","LL1","LL2","LL3","LL4","LL5","LL6","LL7","LL8","LL9","LL10","LL11","gradNorm1","gradNorm2","gradNorm3","gradNorm4","gradNorm5","gradNorm6","gradNorm7","gradNorm8","gradNorm9","gradNorm10","gradNorm11","stop_ef","stop_status","pruned_optima_row","end_conv","end_LL","end_ef","end_outcome_status","end_index"
37,"logit_random",-0.117144662660394,-0.260118446311958,0.0133096713957547,0.186067235811776,0.0159089321075122,-0.0306200399001182,-0.0624420128338702,0.227199171948379,0.0660732255745611,-0.0431448345200215,-1.33972203099704,-0.0945841590497237,-1.25079411453717,0.105763487070799,0.980704872226343,0.443985965509157,-0.128907717196591,-0.147353253173805,-0.150185580856101,0.205732995426536,-0.00724774548216196,0.0994662449571684,-0.288678931876817,0.703584971490296,0.00365247177078115,-0.242647057239644,-3.59817352484076,0.0142137159128455,-0.127168594328997,0.84004272592254,0.962938013700768,-0.449326861496392,0.150901572561401,-10996.0012977209,-9060.61402968226,-8918.8925556275,-8835.55171712911,-8833.23587481989,-8832.9135751397,-8832.85237440833,NA,NA,NA,NA,NA,3472.45190592924,6485.94632480601,899.654760536892,422.351333220699,194.276032333778,98.3916957517923,NA,NA,NA,NA,0,"pruned_test1_too_close",25,1,-8832.8480377607,3,"test0_worse_conv",25
38,"logit_random",-0.120829268761915,-0.0762271540455742,-0.10176334816113,0.084388693707756,0.00387031711247403,0.0153070122487665,-0.344743114950914,0.312191003305413,0.124147340991699,-0.0494520135452367,-0.40717259301066,0.0109382502667209,0.0340540335106084,0.157098903539591,0.157955951439217,-0.847760515037384,0.00118965709119315,-0.0562545434052984,-0.131467026309884,0.161480133035678,0.0193760449701661,-0.0564102666767383,-0.820174269151899,0.0583602833590628,-0.0147672054801729,-0.182684344574241,-0.60393785846709,-0.100864050826946,-0.706498803405853,0.0882084965752438,0.674148298511282,0.653107963197563,-0.0354811907433081,-12024.7376644184,-9003.52596460037,-8896.02739464378,-8845.16166944606,-8833.87484918752,-8832.77308577587,-8832.72061644418,-8832.71275910507,-8832.71275910507,-8832.71275910507,-8832.71275910507,NA,4182.74613440671,1881.63667073526,445.731405240505,193.236066153303,48.6589288396431,15.5847510066628,3.09573647517208,NA,NA,NA,3,"test0_worse_conv",0,1,-8832.71275910507,3,"test0_worse_conv",38
39,"logit_random",-0.0625422640340241,-0.106670468822296,-0.102985782799454,0.139144138369585,0.0232711433203639,0.267243815960071,-0.429096306119953,0.0910437909249451,0.297915137750491,-0.209938029972599,-1.38575186727286,0.0251791681580647,-0.180856883894903,0.734073960692622,0.804379433402792,1.02885118021317,-0.104918069667144,-0.182204492999384,0.0114667496626997,0.148694552024231,0.00858274161307502,0.117822227098036,-0.320634003861029,0.239712215904505,-0.416263620928452,-0.125049804910108,-0.954343407850583,-0.161663115877193,0.227918480139164,0.0381646108347923,0.231261977455579,0.468001691225473,0.0105637909857362,-9893.78943803174,-9024.98292570707,-8886.32986791667,-8848.90798000852,-8835.3688244383,-8833.33205901269,-8832.92877380567,NA,NA,NA,NA,NA,1837.51005799531,909.51901164473,1212.16091139939,576.824388195414,154.859065834971,15.0195821141011,NA,NA,NA,NA,0,"pruned_test1_too_close",68,1,-8832.9140122055,3,"test0_worse_conv",68
40,"logit_random",-0.106629392782575,-0.277439968145796,-0.128159943111727,0.11415494917983,0.0293873268280281,0.0881662391629593,-0.237869044232662,0.0396461453620152,-0.601888695908459,-0.0309892725469309,-3.22284201074186,-0.1419142081841,-1.09605668859862,0.543627531598322,0.505576451695524,0.45305592325692,0.00529090449997772,-0.147131562488246,-0.143613364713314,0.0483929853865206,0.0117022624703098,-0.0507056393675249,-0.419259971456897,0.25502540890857,-0.471848738740228,-0.0467612247845517,1.28969469852629,-0.0360670495833432,-0.174773026320642,0.0382409658515826,0.673342138668522,0.439898297341581,-0.584738294278587,-12842.9862344937,-9216.34385374344,-8930.90259993451,-8844.25727885055,-8834.26900447555,-8832.9685163958,NA,NA,NA,NA,NA,NA,7413.51093335008,4122.8731060418,1768.1822785069,640.638634821219,44.3845303032798,NA,NA,NA,NA,NA,0,"pruned_test1_too_close",27,1,-8832.9140122055,3,"test0_worse_conv",68
41,"logit_random",-0.0491807597714779,-0.23505835354312,0.0577884045777039,0.219511989858199,0.0214548883909724,0.21235071012558,-0.635226082424086,0.345226858002844,-0.5179368096408,-0.116561418335862,-0.613496436479942,-0.0076006603678155,0.0442762218383429,0.057935357587412,0.76130588142667,-0.595583589362229,-0.114626530248957,-0.0599176584542495,0.011922210764375,0.064789055916458,0.0411962140842424,0.0185778886358579,0.114090737652434,0.472842778236393,-0.367051603998274,-0.29304302258582,-1.95933178053239,-0.0637374707795072,-1.11841828721598,0.406207624641247,0.657629744284786,0.157766552656949,-0.286231096758837,-11373.9827932075,-8914.21566694109,-8840.17015282901,-8833.84382375074,-8832.95198735415,-8832.87261014914,-8832.86929214218,NA,NA,NA,NA,NA,3014.98994894727,1565.62292451534,106.14890046703,69.2975021049694,17.0138682994622,10.163348895268,NA,NA,NA,NA,3,"test0_worse_conv",0,1,-8832.86929214218,3,"test0_worse_conv",41
42,"logit_random",-0.0878284637654204,-0.0671021490632055,-0.164200959871222,0.0923076633545622,0.0204381781903257,0.0592146828260812,-0.373568703267639,0.195138102227347,-0.487476599624027,-0.147813232584619,-0.853436150659576,-0.0209551427657548,-0.48315893262604,0.966876622163691,0.931857897094451,-0.221261754152033,-0.205527026989819,-0.0793221554587504,-0.0937368496186474,0.122734188111194,0.00659622053847186,0.174234519490073,-0.13219322749236,0.516824988346628,-0.265258123760562,-0.0922814087497789,-1.2292370705961,-0.105583899062566,-0.418812449404196,0.785531371776015,0.797792167556472,0.439366002944604,0.329924406425033,-9712.5658946505,-8853.7299214428,-8835.02263716019,-8832.98609912407,-8832.81482983227,-8832.78163114712,NA,NA,NA,NA,NA,NA,1761.8479151607,351.570707186374,30.2010384437195,23.4795342850522,6.21206562414521,NA,NA,NA,NA,NA,3,"test0_worse_conv",0,1,-8832.78163114712,3,"test0_worse_conv",42
43,"logit_random",-0.0795700669041592,-0.0042624781674544,-0.182976663649602,0.109172265866806,-0.0156205617362328,0.281094452178381,-0.230530437468423,0.228805095862794,0.043762739102487,-0.363705354283371,-1.76810405834797,-0.0788003763299671,-0.753693674965121,0.238284362507984,0.537353491196409,0.479260001853115,-0.0467598640917098,-0.109691020769319,-0.133133327500503,0.108902623998524,0.0247693340208769,0.129774190344601,-0.287906801422531,0.341971438586111,-0.0379636918387923,-0.0796848924507685,-1.51643586075206,-0.0926684162497768,-0.585389183284673,0.591589301927015,0.950928353103809,0.155463126551045,0.365849642129128,-9426.20868821567,-8873.72342187071,-8844.62929840989,-8834.9678085348,-8833.08528984006,NA,NA,NA,NA,NA,NA,NA,4789.47753642665,1625.14704355509,1034.75368367407,236.733637797493,NA,NA,NA,NA,NA,NA,0,"pruned_test1_too_close",41,1,-8832.86929214218,3,"test0_worse_conv",41
44,"logit_random",0.0142038564446635,0.0961265898570262,-0.18299144104117,0.0676489644570201,0.0449065342179587,0.0773833537231807,0.0621281234871981,0.505469077100747,-0.0750399277459452,0.0624968963960097,-2.26023276473326,-0.0937301974122556,0.193695743701452,0.752764041237533,0.626277578519657,0.692638789389372,-0.074069674638705,-0.14074778499862,-0.183518817067316,-0.0110632549651855,0.0111418384762828,0.106422001786305,-0.397318123210643,0.488517091230148,-0.464128417456742,-0.15663243965328,-2.41317976177051,-0.0929434703675012,-0.246383395640024,0.4459046632424,0.535926840142347,0.203613835181194,-0.153439877714771,-11119.95486587,-8938.06054474079,-8898.77230608625,-8845.95172899609,-8835.36609349207,-8833.12974959334,NA,NA,NA,NA,NA,NA,725.77406366927,3255.6655607187,755.638384961599,497.227511213638,137.336083774053,NA,NA,NA,NA,NA,0,"pruned_test1_too_close",1,1,-8832.88038177849,3,"test0_worse_conv",30
45,"logit_random",0.0588409619886122,-0.1405997472582,0.170314650791761,0.171500531654391,0.0441447741890399,0.110133442551657,0.174850874720386,0.511428485613607,-0.298057624571977,-0.0588581119387727,-0.845144249979349,-0.0982343246302312,-1.09442032174759,0.469415761008859,0.864378981986083,1.18645348931238,-0.153861270846896,0.0557719407301538,-0.129636778931727,0.112709649660696,0.0276756387548571,0.0664961183907456,-0.29739402140503,0.0895668819712073,0.244198956329016,-0.0715556035186512,0.274784331279019,-0.0389757812392592,-0.746571245354957,0.0786850701877847,0.821375940577127,-0.248625333841796,0.206353025072277,-14329.3186668253,-9099.04395625943,-8901.11843591353,-8841.2530956182,-8835.65964579468,-8833.5925798015,NA,NA,NA,NA,NA,NA,4358.41785982592,1773.67632168614,372.804699597603,279.597770521965,120.962448539591,NA,NA,NA,NA,NA,0,"pruned_test1_too_close",49,1,-8832.9140122055,3,"test0_worse_conv",68
46,"logit_random",-0.0610671507781778,0.0047392641917483,0.0373334474039135,-0.0176263690099173,-0.023215250985742,0.193902418902264,-0.534845608803258,-0.210041635814544,-0.298277666671263,-0.101531039831185,0.0115897569048242,-0.177129245494844,-0.170725714256734,0.0244289296073839,0.501636163643561,-0.673703024122989,-0.197831716508108,0.04384122040913,0.0357053672792175,0.0466135115454138,0.0240648801904614,0.308140548562638,-0.283980720698919,0.647682860190505,-0.598980849673602,-0.0539731698405751,-2.59622029342337,-0.100869582449907,-0.529154200050002,0.374110111519694,0.505753222224303,0.265211499605285,0.254872034782274,-15731.6757316514,-9820.48073772613,-9001.40487922926,-8850.10702106582,-8838.23349257497,-8838.01733818407,-8837.99284097914,-8837.98426282356,NA,NA,NA,NA,17681.6205436915,2093.86236730074,1548.47165624858,329.907878746234,79.7039682401948,67.5074501136117,16.9268382551508,NA,NA,NA,3,"test0_worse_conv",0,1,-8837.98426282356,3,"test0_worse_conv",46
47,"logit_random",0.0495826550866543,-0.228866313641488,-0.182388852308357,0.052730514118771,-0.00235833667856967,0.209547035402518,-0.333678229020013,0.574986388309125,0.142478985948362,-0.0449681558499136,-0.657594558536645,-0.143763765465487,0.0689829585366623,0.238823549835943,0.333828787906095,-0.262327079982935,-0.24396563670149,-0.0611877004632994,-0.0287176807367338,0.144397761555013,0.0600591275399997,0.278183295602447,-0.716076494949043,-0.153447661282026,-0.302282533137849,-0.166111383934494,-1.88036316139001,0.00804662080387132,0.0793880729321395,0.920585406553,0.59342929890845,0.00325528608926521,0.754049016757704,-15131.0061293958,-9223.43380976821,-8908.87672197303,-8839.59698391291,-8834.01160726178,-8833.00201676363,-8832.8716933298,NA,NA,NA,NA,NA,3634.4355471247,1011.69630220528,977.302724636947,383.131835714228,81.8699449373126,37.7794286029898,NA,NA,NA,NA,0,"pruned_test1_too_close",41,1,-8832.86929214218,3,"test0_worse_conv",41
