"Class_1","Class_2","Class_3","Class_4","model"
-9.82764718335232,-7.75955253771798,-12.0479824014575,-5.66002863548918,-6.33804323114896
-67.5155254820737,-43.0965059096642,-33.1497176152528,-40.6584224405375,-36.9793743376817
-43.7458584951455,-83.2261187100113,-20.0237100614077,-35.4006448989095,-23.1525624818226
-3.27685203757199,-7.71501953041841,-7.0416421736501,-5.79930478888474,-3.78448394977805
-12.7699976870695,-74.7549613804851,-27.7410659959383,-25.7939855768064,-14.7952845846685
-5.73250237372887,-26.9541482355059,-10.6423596754755,-16.2205147210616,-7.30467424409162
-13.8208605556269,-21.1771756739256,-22.9925049878837,-19.4800562266856,-15.4017477275632
-4.89841561945435,-9.11947840653241,-5.04592862026195,-7.03946586501393,-5.30987175578736
-21.9038154206217,-28.4199141676405,-25.4687951435047,-19.7774633273351,-21.1923549107608
-4.53766410399956,-10.6442169880522,-2.54955672365835,-4.14443127507291,-2.91760510243248
-17.3183099562119,-9.12974169667241,-16.1616267584771,-7.48308541622977,-8.13792350903015
-18.4240651114973,-25.3995534344279,-16.7950033004749,-10.1125762827217,-11.2838777357669
-44.4320943023178,-86.4143744160994,-56.5325107675751,-45.4542164769966,-46.9090954866803
-36.6604315723519,-22.7784444351998,-28.8355940550531,-28.1032241203726,-25.6786743544072
-10.1363885650922,-8.49308285847853,-7.37931536742643,-7.59618285123345,-7.84206305428093
-1.89170263650297,-4.03436569587847,-2.69318774645211,-3.78530501714698,-2.19060617243525
-10.4252687326575,-34.6263725565039,-11.3863793082188,-12.9270087488501,-11.2584845753403
-6.26607380482552,-3.8562646137357,-4.88076996244127,-7.42516105665508,-4.55365109308498
-20.4658760247225,-20.3436829047739,-20.1290620317968,-11.7290504251367,-12.7490413971906
-41.0459225523812,-37.3446573555108,-48.4785299098787,-25.6613605041086,-28.3760470542364
-8.40470821400459,-9.1240771844772,-6.61958544234852,-5.88238016029342,-6.48998044699712
-6.89286443422404,-8.10759425272565,-2.34201407624576,-5.67573272125959,-2.82257145801994
-12.35050687424,-5.02231253692326,-7.29553751945476,-6.72561763169758,-5.48675186411069
-2.64501889891371,-3.69392149287252,-3.60559618874799,-2.61305171533037,-2.76976998431489
-3.79632115848442,-2.675781840819,-6.32845636147868,-4.73574703442172,-3.12723595123584
-2.23938312447094,-6.75596423352755,-5.07577856491849,-4.62368489284215,-2.56501461704936
-9.72640885748859,-6.05654192737159,-7.32710824841174,-5.90818624656162,-6.31777901936216
-20.8751660566572,-13.1078926709475,-13.6525591466981,-9.88003711535037,-10.8191739803649
-12.0546908610843,-7.76260445326261,-10.3192502142153,-8.42361770753033,-8.43450850877319
-2.17840230576817,-11.1730025641522,-6.8429952027206,-4.86652105666701,-2.52850256188934
-2.61370135593693,-2.80987095015794,-2.61117175310963,-4.00085083464688,-2.72782543301088
-16.131258747147,-27.4989703009017,-18.3474855177477,-15.2206807278573,-16.337677253437
-12.5708509453038,-7.11427486182523,-6.21667939283805,-6.84908098828603,-6.7119438147636
-11.8400383757686,-17.4582670609597,-7.26918807898627,-17.3620096722578,-8.73294038002178
-6.10411872744474,-7.74371414760129,-4.32327774369602,-5.84980528220731,-4.90738106667779
-1.41002631621677,-8.46550787783238,-5.25061324627735,-3.54993453797138,-1.71820963001176
-48.5073220956771,-26.1197782534857,-30.9417291018461,-15.7685600562661,-17.8061809214878
-19.6599697508036,-10.2391884292453,-23.3968175626461,-11.5239520714797,-11.3370058423842
-35.3150863629853,-40.3956087910944,-26.6877826269086,-17.0427393161595,-19.0709273902321
-46.521309384045,-22.6186887003269,-28.0096084492208,-15.1960663907316,-16.7730467865829
-52.6905820469885,-32.992966053885,-36.9733460020568,-29.0516524551077,-31.9972691708704
-91.2246438479612,-87.5338946785057,-40.0908357343711,-82.4081212712729,-47.2005192044514
-6.55744132313501,-10.1991701652284,-10.1996094119353,-11.2286537036476,-7.70820913091595
-74.2141298487748,-52.77691442295,-82.7328634278749,-40.677887073013,-45.2109007786092
-1.92370429116522,-6.85598047250357,-2.24038658293981,-3.2793020883024,-2.13126225190823
-12.4703446939629,-13.9441289001462,-12.8733601467184,-12.8378659920177,-12.878981518531
-18.2029868937506,-23.6733994842131,-21.8411892531151,-32.1431740473199,-20.3797388473554
-8.2829591288053,-24.092503326483,-15.3736820703478,-20.6888726231704,-9.79864478910604
