"Class_1","Class_2","Class_3","Class_4","model"
-19.0172632557589,-37.8292488742706,-31.5296682577985,-12.0065187599226,-13.3335941828887
-10.843599304034,-13.2742530052192,-4.71120796766515,-9.62333805142264,-5.57327024588424
-3.42073421921833,-1.44194304856427,-5.4415754911982,-2.45264176754068,-1.72985072386777
-10.834658722085,-16.9735183725452,-14.5855904929202,-5.97852742441459,-6.62619770187153
-12.1013802441374,-8.94500308253559,-20.6208748402766,-11.7971279754252,-9.95595502282745
-14.2027332707368,-5.4664320750188,-15.2241088487103,-10.1036136191096,-6.49932618385183
-8.52866050607808,-11.3354600657855,-7.94447202532298,-5.22713152997694,-5.87283513837712
-12.8416918388493,-59.5752672833949,-41.7123214224507,-31.4125581243274,-15.0299821478894
-6.71249142272558,-13.2083066220484,-6.59422860528541,-5.58730884313966,-6.22685904780627
-6.30631552329287,-1.78192695172436,-3.19412678926532,-3.89094148683632,-2.39120158115052
-10.3755793113823,-3.4961618786768,-14.4879570111389,-9.47972864944674,-4.53000793179314
-23.0389450020015,-13.0530574470868,-29.2678930147168,-29.451127768427,-16.6259764890665
-4.15072994161834,-3.42632507881662,-3.21066888949863,-2.3676537805042,-2.64463855166463
-5.22601564775157,-5.06332689529627,-2.0118034812191,-3.92281151108661,-2.36114919577573
-26.6795253001393,-8.81631366915208,-27.308050462321,-15.9280944952098,-10.4519017525352
-2.66279738653597,-4.56588707070298,-2.63928414967067,-4.00421320917319,-2.82428639499962
-0.931740089183181,-4.25305128257652,-6.12354741073769,-3.41063481748272,-1.21664525550427
-2.60023400246809,-0.83242725729176,-5.48643130902633,-2.41662420915832,-1.12161265575984
-17.6067789589246,-15.6866915735989,-22.6700634683563,-14.1807118242782,-15.511238102295
-2.60231643436165,-1.0216786887013,-1.92703194411658,-2.01210978177105,-1.30701953446503
-2.44644872880078,-0.585034258707528,-3.80261101839609,-2.31700145777089,-0.874272146529126
-10.0521715931268,-16.3710607187311,-18.4337444189618,-9.2856775950278,-10.0564212536218
-2.89998889081569,-4.80398561907097,-3.46076494192116,-3.15091742217668,-3.15279627940096
-29.2328556688219,-62.7648703413596,-102.943431862756,-57.0010424693149,-36.1306441163565
-5.08147440049436,-26.3303085696105,-9.30201168316352,-10.9730429248823,-5.90010175645106
-3.52649822166382,-6.91048342904368,-9.16378532870008,-6.2949101681254,-4.1299793563851
-52.8696048865914,-99.2981032174741,-101.102043836065,-70.2362479174091,-59.6368431673675
-12.992508406769,-3.73486389481424,-12.6553562410403,-9.93220590609382,-5.32492482146891
-3.08414319507726,-8.16899127201019,-6.53514778447744,-4.05015998934017,-3.53285915997424
-16.8454284428486,-48.6828239673879,-64.0484258538822,-38.1385243403751,-20.1051196483217
-8.63294897805488,-9.03890416161728,-10.8159389766079,-5.42404787929682,-6.07098918077273
-2.57101044201792,-1.52165050189692,-4.27775883777306,-2.47835482624209,-1.8080370326098
-48.1721708648894,-84.7466356160126,-49.1040462113005,-25.5433639910545,-27.7060158977939
-10.5325255341763,-10.1974384641771,-12.9033538766686,-6.93931152457564,-7.63000906023345
-2.64172457984631,-5.29739309959793,-2.95759665045695,-2.15688321789891,-2.41622285971874
-3.73439658339239,-1.04546642689831,-3.77652503722156,-3.0777498591306,-1.33475222145323
-4.61394322386699,-8.8173865021879,-3.21696817034974,-4.86280514253603,-3.61045271820194
-3.01986778143557,-6.81304713910131,-8.70929709629572,-4.70131138410832,-3.426576728683
-6.97300496368109,-7.7005368328038,-3.78360168801093,-6.15208825094289,-4.45967661196538
-4.89631676395873,-6.05037808783832,-3.74606183639055,-4.22889654331313,-4.08696635727509
-9.84166168343636,-9.01314118563388,-19.8906994411247,-12.266584887354,-9.94268686644365
-4.95408211548863,-1.43526318950347,-4.94646015037054,-3.64874119901656,-1.8362129321931
-14.1749008264033,-10.483194564491,-29.1060687555016,-13.5321691296735,-11.8655278013775
-12.339614028393,-19.9114184442405,-14.1356812991499,-10.803184610034,-11.6205800121748
-21.5716851179405,-21.6116530600518,-18.1572286180251,-14.0597921054419,-15.5394508832779
-28.1096627864033,-51.1183655738011,-15.771799767267,-20.6240486531898,-17.1248878222297
-5.53708135374052,-6.85850032169486,-10.1302693727868,-9.02083450606813,-6.36779371860093
-6.08264687344223,-4.94062759292432,-10.9403141285958,-6.91841631877442,-5.7962412426929
-7.77991168401208,-4.42897309729864,-5.01302548687118,-4.8533269591026,-4.82497876494306
-1.93772665293444,-2.79078253217832,-2.06856268737865,-2.90637724936889,-2.12567750435663
-4.26196580615391,-2.19290602266974,-7.48492645418242,-4.04036203596632,-2.81214762787441
-10.9784256415422,-8.60734841277441,-7.98490265166546,-10.2614975191232,-8.88417501819813
-5.25796997237312,-5.00994321574975,-4.09547930144033,-6.50768945962792,-4.63953976929157
-21.7237227058544,-17.8818633926784,-9.43307577397647,-21.8627790006452,-11.7173118974512
-9.46582996690868,-2.72232865758701,-10.0041778879783,-6.47240215056642,-3.35212420672179
-2.60513611627491,-2.96953264848224,-1.73990673602205,-3.12552648247899,-2.00646933197162
-1.34163172780736,-1.5685253086794,-1.67436682240051,-2.96766808281624,-1.54061886198728
-2.0996979195043,-6.89996964113135,-4.19751034347995,-2.97402457317404,-2.3740674346592
-50.8516560585992,-66.7666501452331,-25.055901772644,-37.0380437045238,-29.4854732098893
-14.4053057079811,-4.88370325792439,-19.8852422463213,-15.0646154809644,-6.66502188849607
-3.37809868576011,-3.47244398135569,-3.62539843687846,-3.34300990916642,-3.43873258430253
-11.2631387073446,-7.70180465227219,-9.47132724366196,-5.6017021151169,-6.17759604663584
-36.77368175678,-21.6442565828598,-31.8813734318016,-20.6053745502136,-22.3321510842719
-5.81919461159225,-11.7322784647738,-7.02411750092093,-3.45586984076449,-3.83060068327809
-5.62019832608408,-7.86230888408683,-6.12539250531624,-2.78574814856979,-3.05942840893672
-44.6322510282704,-95.0556591951743,-85.3748371019873,-57.0197768724133,-51.1444452074564
-5.71646656416602,-6.78048786998292,-8.64791835815264,-6.00597083443965,-6.05369827877862
-17.4470613599908,-15.1055210935589,-19.8420476954786,-9.92925279181199,-11.3045042386159
-4.55786116058174,-4.36603752405123,-5.63534415920298,-2.75510800616391,-3.02870561295823
-61.7100333446819,-174.115767682719,-67.7583669984223,-101.085177659718,-67.2841689105746
-18.0302719838355,-30.8197601917812,-27.6488673561414,-13.048729991412,-14.5845982451856
-13.9291292320438,-17.5629668731907,-6.7813066324083,-8.69350551084542,-7.61291128312176
-4.53768857740713,-1.74589171212615,-4.13624037937533,-2.99338813568491,-2.14356614497307
-5.61994061345871,-21.9302877238457,-15.1122722122582,-9.43536697117895,-6.3197259917713
-3.07112886469619,-0.888322018256449,-2.372653714132,-2.05427893241148,-1.1768469113144
-2.21660556328861,-1.8627289173657,-3.7038129759831,-2.02734218137575,-2.05112346009023
-14.735019595838,-25.9726185441849,-8.97611511353097,-11.1808348904506,-9.908447599529
-9.35492051769395,-7.15174122554753,-9.64088086273834,-5.55800394804863,-6.3834933904297
-16.6822125798904,-61.8074410718768,-19.4221880533274,-16.293954578515,-17.1303621735684
-7.10697791024956,-2.86042191127495,-5.85671170318621,-3.75716602052421,-3.42016063263964
-15.5807522796791,-18.4509374157651,-15.0058650292979,-7.75517530221674,-8.35105956629058
-31.6892172202692,-21.4820819538507,-23.0471047795004,-13.225658527565,-14.5727994781146
-4.51903562180776,-12.9616998147495,-5.34557731580492,-7.72109464323904,-5.09524542021978
-12.5525080609685,-16.8001867696018,-11.3077388877874,-7.08652097324073,-7.87299177273679
-11.0004083780837,-14.0202651937813,-9.93133757608214,-7.86249864643929,-8.70803471812361
