"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","Class_7","Class_8","model"
-35.2391458325428,-20.5813962022476,-7.68149533698708,-11.4712772664709,-16.0687330577933,-11.0045294552384,-3.12224447968183,-43.7952696673451,-5.40913891745769
-8.45117565995483,-2.19996023204525,-2.21341331129806,-3.31316933486954,-6.69826047461555,-5.07624971057144,-4.12659225422744,-5.08351912637794,-2.4096850155609
-18.5199223257816,-18.5750203752137,-11.5177859529392,-16.3927277907405,-26.4593271613237,-15.1541443877401,-4.12462853802269,-46.3453768857449,-6.52846879886607
-20.5793446939214,-17.2954419930317,-8.06055964119176,-17.4214086224202,-10.726823368827,-3.91807014814476,-155.841375957062,-16.1031221318809,-6.49130400842281
-12.8705748238201,-4.07025359341974,-12.8447809635096,-15.5253932753297,-14.200245429318,-12.5043779093178,-68.7930487801564,-11.8889426503958,-5.57095789217819
-23.2017837542533,-12.3008773143754,-12.894728316211,-13.7222564913768,-21.4822937633169,-24.3608675795003,-50.1643241281617,-19.7838159326498,-13.2441910702584
-8.66570568660646,-5.73978146077826,-2.63549749808502,-5.90186326814176,-6.7005758435547,-2.64213349110016,-0.470191531526547,-17.106174857699,-1.49957028511828
-8.63560561987065,-5.22762564227934,-9.9090203645224,-11.3776423431038,-12.0349802224451,-28.5388597485568,-127.711954484607,-16.8852028135183,-6.62042038546033
-42.6877566917109,-19.7955707770105,-15.9596338894345,-34.2747421801045,-22.6977864109107,-7.45441686367834,-18.153276047543,-48.8281051120703,-12.4046405184859
-37.1903137013285,-13.3758478620514,-34.317602889175,-25.5226343086609,-36.6626634637222,-204.731415615876,-553.428047445333,-29.7216904872055,-16.1813179001398
-7.35718003154321,-6.14872328234157,-10.063035696375,-9.69639515993608,-5.141636380614,-168.432507263605,-297.166968828303,-10.6009613851889,-6.15225540328911
-8.10916870466065,-3.40933721931038,-3.17672212344749,-3.49025394281029,-3.6454874063209,-32.8095427811329,-20.5578443383571,-5.00669763033136,-3.37505277403401
-79.8252145974964,-63.4115973783937,-35.0576464270064,-48.2062311901154,-82.505777713721,-114.314205592147,-100.301761095129,-31.1237395450749,-37.3267512535973
-23.1627143000387,-10.0255810414437,-29.1634257191907,-20.2565613849384,-18.6074532665104,-86.2011958372775,-404.149114423347,-16.9743984678438,-11.9181813720517
-68.241510170014,-40.0942210103647,-10.984225910124,-21.5902019811791,-33.1161824858439,-56.8370127006733,-71.6311718578352,-32.4702320333167,-13.5050232223899
-14.2030805426358,-16.2665760716661,-9.80972057148319,-4.03488211133365,-9.37588543977559,-106.820137413351,-112.305068648525,-7.33922432404864,-4.57159599591844
-4.08539977625738,-4.38397147288516,-3.57137994848062,-3.33055075880565,-1.47740711432858,-25.2773918144387,-42.1050460372695,-6.34607424148785,-1.87983305739126
-12.8646271626015,-8.18588419936833,-5.04677683447768,-8.59113931399138,-13.3824341554746,-12.2081531920757,-4.5641666684596,-23.7245853178343,-5.63889714946287
-136.471183366796,-59.7367312385534,-36.9005276795787,-55.7044801584856,-82.5661760900398,-111.073541496624,-55.3918241592648,-94.0907691201171,-43.4088716475957
-13.8372138193348,-4.30260591213778,-10.4547579015862,-8.11115028395655,-15.0592394830344,-9.72510150457557,-29.6523319147517,-13.316866652547,-5.28496152502282
-5.12560805280426,-6.17560377882126,-1.88375817004832,-3.22799792602634,-4.2934781046332,-33.2254409350967,-9.19941110915779,-7.7951709439883,-2.14954662923452
-64.5599482013588,-73.9083779138213,-54.7815720307078,-36.965840113985,-25.4421079897449,-887.178668189153,-838.634739682807,-116.352925988732,-29.6564168061949
-44.1015427749999,-20.6235773805807,-33.8198325610925,-25.5583816708157,-36.6340782020937,-63.6610669966703,-112.923717246543,-31.9351228360765,-23.1874508514945
-20.3475388602428,-21.3742971290027,-10.3078518325342,-6.25414945114438,-11.9304341634272,-237.59134502268,-175.837299937052,-14.4444871544785,-7.23283500004484
-8.99447522693959,-5.99579274770556,-4.56695239882841,-2.54819374042851,-6.82393276170513,-8.51198610105538,-22.5337820503389,-6.16300318658887,-2.97371478872916
-20.5269727399555,-25.4394216112336,-12.6641701953917,-10.797964775678,-14.7514691388835,-55.8898383952924,-9.06941454045514,-39.2904807113408,-10.6785508076627
-17.5099584141011,-16.1309879123563,-9.25926655277876,-12.0325021647975,-18.6276719577153,-22.9143314803236,-4.13191371468744,-20.9672164976585,-5.83400845625559
-16.3280654544998,-6.67328910205954,-6.72305827150506,-5.02987860375436,-10.1402180108753,-15.4167038002243,-25.308003664969,-11.7938815170259,-5.95880316867687
-31.7126650336485,-45.2370930797465,-29.7001521671224,-30.4733517163014,-7.98449048017103,-27.2036145525665,-103.73753576762,-68.7054281186031,-11.164729379355
-15.1438952205599,-5.65237499685088,-6.60296017428672,-6.19381469810884,-6.93172378289946,-64.757840632771,-125.57646375319,-3.94876662274846,-5.55058402902196
-11.7533376890841,-7.27848771989211,-6.86265065871641,-8.17226037962856,-12.6877561207257,-9.29875539198138,-5.75641056666525,-15.0359260598552,-6.77393018965421
-8.27104784709635,-2.97850707493151,-2.3161998213478,-2.80111666248675,-4.53539617847541,-6.33640251680478,-4.68767908580556,-4.5788529513365,-2.57435616435213
-4.9203328986753,-1.80164719640759,-4.65693008964379,-3.45861725305827,-6.08696696230017,-21.9885928292402,-48.3348357719339,-7.70573537926144,-2.19994577313935
-5.09400955958559,-5.15041063346323,-1.41179202739621,-2.8302711154844,-3.37816710090487,-7.49065766302391,-1.1952157222053,-4.76962235285588,-1.54278922923808
-30.5671895629366,-28.6163299995484,-20.3953684223469,-18.8300273797649,-39.6792858294392,-25.224934824867,-3.63908574700225,-76.2048899008414,-6.33755413755461
-3.24563748743348,-4.55598206118253,-3.99796625665145,-4.2883324569239,-2.80614476474923,-100.488352243955,-94.3906384578444,-8.35402931544031,-3.30452331683406
-8.1758895916787,-6.23834260360678,-1.90968976607861,-3.47782829829929,-0.707464741505673,-1.11997518092653,-6.19645936839527,-10.1821826917829,-1.10638677462473
-5.70538697390267,-1.66450655013333,-1.47638324110598,-2.23501049173416,-3.71723750375519,-2.29127684797078,-1.57473076205083,-4.75803148252964,-1.6552091230187
-6.04109187583665,-3.85441766102428,-1.2506727999292,-2.83809178950507,-3.15606792652083,-3.07623953349717,-0.341988257604453,-8.97329160089019,-0.812601818881304
-8.54014664013058,-8.06380817136392,-4.44852994853739,-5.67297720682914,-6.38040925836173,-7.10644337602595,-9.54346243427869,-8.79906201403408,-4.81542479201457
-2.80812703750427,-4.98734310337459,-3.41483321531131,-4.13153748071323,-3.71287530410928,-84.1493939744024,-94.5685482499015,-5.93020052447821,-3.46118019946845
-16.5038144492401,-9.6603223396664,-11.1153851705072,-9.50752322706223,-3.37768844184585,-23.7761109552222,-99.2978970436185,-16.6056656574952,-4.56810330091615
