"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","model"
-290.608253563391,-13.0877814084947,-10.9988710777564,-13.8575039679748,-18.5641778644535,-74.9041598459006,-12.2054973761157
-393.140462033464,-14.5019402322889,-18.0499418063869,-34.4926589988421,-19.677467132373,-37.3233670334164,-16.4806666946424
-31.2027849818305,-10.8938328260592,-41.0776281503588,-23.3211866816112,-31.4295848467919,-107.461407281234,-13.162951092792
-6.55927334041712,-3.46818748056431,-3.81439027222249,-3.10881659873927,-1.30911908518693,-17.9259897378403,-1.66602031712838
-224.006672276506,-5.34375523719126,-8.00351026236868,-8.5628567466631,-10.8996610611746,-10.3881191167542,-6.20054579123094
-569.467444215038,-17.2549113632886,-33.4696598933766,-13.0682755011297,-25.1629137995475,-138.234632953314,-14.778293368536
-Inf,-34.9434238809674,-24.3185681224634,-25.9163779340272,-34.791668780433,-203.199106724534,-26.2545060108723
-138.770968843908,-4.33400658261478,-6.10880031260636,-2.95853625941376,-6.59963033619988,-17.2442819830224,-3.32560481765204
-Inf,-10.7090852500083,-22.1990716303631,-11.5464507461205,-15.0542183660003,-9.29222215101962,-10.7738621315601
-69.4311816168622,-2.36926314664699,-3.2802744258956,-3.0751893083318,-4.15523528378877,-8.618472033173,-2.60965206901126
-73.2778763840667,-1.35055527590851,-4.42562592426518,-2.81126132112133,-3.21406057316313,-1.46213911401259,-1.56814818028873
-18.9660282862201,-4.7302829847666,-3.60101876765343,-3.82402515701778,-2.42883844692476,-8.54349201551275,-2.88598367307908
-18.540442797746,-11.9602469483504,-9.7653061013897,-9.51245702519179,-4.033307196551,-88.3770395999872,-5.0890015778983
-102.974853632732,-4.50830199857329,-8.46613950480553,-6.95068111623369,-3.91120618719101,-19.0766511302212,-4.52513475189016
-34.5287522031687,-4.37385007421173,-6.5576459446739,-4.02864256685171,-3.16740857726098,-24.3347947562769,-3.72950006817266
-Inf,-6.83562295526499,-11.3758463819178,-5.75508215850872,-11.294374931376,-20.600871433505,-6.52055519420035
-287.160201717413,-51.275339259376,-73.981774503244,-23.2921397224738,-49.6617653231254,-223.132389740711,-26.1150725818722
-Inf,-2.0387606842745,-4.49602778938115,-3.64857188762154,-4.39099963242948,-0.240426686636702,-0.753166348000471
-272.4576469597,-5.69489247624932,-3.60507071431958,-6.78870741770175,-5.93428251655864,-23.320803848506,-4.36650139334511
-358.569348469628,-34.9127526991287,-20.3108603310059,-17.5721076290053,-26.9344403628241,-130.487110950853,-19.2783033521991
-705.622647010232,-21.3553310752807,-7.05449049663819,-24.8121494952008,-24.4310252386461,-44.3851691383211,-9.38582789044924
-Inf,-5.23494679969347,-9.43293664060874,-6.71857431709612,-12.0137181880946,-2.62985814219614,-3.74208590521862
-Inf,-35.6718217894921,-27.107245193731,-44.811639028621,-47.1121771804575,-211.279363552486,-31.385190169534
-3.21502320582224,-2.22003091657594,-4.33901462339386,-4.89342348052994,-4.31310923763054,-16.4112003029689,-2.62136666779472
-23.4511724020877,-1.95159715046461,-4.10804386187082,-4.03663353162293,-2.28580571682265,-12.4791140831021,-2.23746114707475
-641.752211921373,-9.12227491403696,-22.746585285144,-15.8987321370952,-20.4468417878962,-60.554349903521,-10.3289239513172
-144.010949745307,-2.35338515532362,-3.81973940695243,-3.50116144946044,-5.79023914879923,-2.36773991338986,-2.62205324495615
-Inf,-25.9836387860773,-63.8382147195091,-42.7305270560192,-54.126036875644,-12.9983248529426,-19.3788839430185
-209.950352179892,-3.88057922481783,-8.57446987375472,-9.17955552907059,-11.5222719489171,-25.746909992638,-4.645080543882
-54.0175357533253,-29.1702293468949,-23.0340902265592,-13.973643806619,-14.5114239866817,-197.946696771226,-15.3098783568943
