"stage","candidate","LL","gradNorm","b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","lambda_ICE_1","lambda_PHEV_1","lambda_BEV_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","lambda_ICE_2","lambda_PHEV_2","lambda_BEV_2","class_intercept_2"
1,17,-10575.4053452181,NA,-0.0696006995384394,0.0133959514026156,-0.0411325700302075,0.0823877388536409,0.0240276411896053,0.282650452017381,-0.144151895471512,0.211847431037675,-0.548005002780358,-0.0159918802068074,-1.64467260764266,-0.062711587361955,-0.559534706603868,0.872272526132874,0.111122147338465,0.63336094992701,0.0229673781024379,0.0486427351678782,-0.141426033921305,0.0735576981784298,0.0192807413655485,0.145487806418212,-0.60118005796876,0.788351534435086,-0.0355884211335186,-0.0924927081662164,-1.64998440498162,-0.0434946526125881,-0.918213746142207,0.930147890858352,0.149317241106182,0.972666912856512,0.266419100138147
1,18,-9575.14503196862,NA,-0.0106546115804034,-0.00687403470110205,-0.174834803315553,0.134465983820282,0.0296829676066257,0.0261773251989581,-0.380077999135782,0.179135101920185,-0.0622163362500894,0.0332681401656361,-0.28144105005009,-0.0384719516158043,-0.274976106725655,0.754718561274931,0.810028526354581,0.90073722415138,-0.0828172417233271,-0.253147166346343,-0.133346514647745,0.206951293300767,0.0258569775244831,-0.00103815032610174,0.164132540125555,0.0143249622982366,-0.343019719494163,-0.302756511611629,-1.47011617385092,-0.0795839020254612,-0.387817031092897,0.826780519955791,0.491090391417965,0.647048659846187,-0.0804046095135674
1,19,-10620.5386205666,NA,-0.0554488140775502,-0.125633840672868,-0.196317540606642,0.121510997660085,0.0126211968033934,0.0933761901088763,0.315178369231409,0.372937905193187,0.256239817013093,-0.211281074460377,-0.214251303543499,-0.151678864141618,-0.326305587533153,0.42053719655145,0.932533342652023,0.895895830988884,-0.101979212170372,-0.123723044989442,0.0636266525317187,0.173345280905548,0.0420590156810708,0.199594120018642,-0.620557486965343,0.638557142461396,-0.185755897592279,-0.20223302830831,1.50837800938157,-0.154200384456819,-0.830999195324102,0.584006530353799,0.257654138579965,0.529295927342027,-0.997198197105603
1,20,-11912.7668689476,NA,-0.0246724336891311,0.0928447828879054,-0.281175193618649,0.140077057306027,0.0426076017844324,0.207210901877177,-0.216270778966504,-0.0298838232561201,-0.645121354601779,-0.110260030228919,0.962036835714704,-0.0338222867235581,-1.15896718583102,0.291402987320907,0.639501012242399,0.659214328504168,-0.120794800425433,-0.032760409760879,0.0166024429104969,0.0474069420323974,0.0218231814179018,0.271981707547564,-0.296521249575908,0.0694082468942881,-0.202117567812049,-0.0154723504914926,-0.603879976924974,0.0273310645660192,-0.441726144108552,0.384549741293304,0.969483111160807,0.309751038416289,0.170201694475115
1,21,-10217.7047731524,NA,-0.024169129676555,-0.104030695548737,-0.0926644989606366,0.0780644680035071,-0.00366195637015529,0.187870794573531,-0.435394502029645,0.348332955524096,-0.0310872964830466,0.0145823309688296,0.0749560292699367,-0.0880721988355382,-0.346832455904872,0.702445471612737,0.637183884652331,0.422428469713777,-0.144730284755231,-0.0659790671447227,0.15717224179268,0.23296874763776,0.0224802501431699,0.0292120525741486,-0.327940608118141,0.544811357492666,-0.758126265819121,-0.384216644283786,-1.75227517488781,-0.0781185905416787,-0.937371413486944,0.920245715202764,0.73867963981349,0.790388852120377,0.645657335429759
1,22,-10751.0201623093,NA,-0.0210397454746102,-0.184647231588183,-0.170379100922395,-0.0427451356177151,0.0197457514060354,-0.332539200067357,-0.405563831025354,-0.141969910892968,-0.148811183850136,-0.0293627716076242,-1.30843606105943,-0.0824375775768003,-1.06444281319364,0.345048877596855,0.151578315692022,0.262139087626711,-0.0354492992362915,-0.0263143594961092,-0.164051180066307,-0.110462356531148,0.0136730183900446,0.126925403178309,0.204347833808777,0.237990983790062,-0.102018837475436,-0.00274563890414392,-1.9915117762955,-0.0470072737065605,-0.0892421491874262,0.909787122341804,0.937252587410621,0.535707601406612,-0.100926130381523
1,23,-11986.9774203585,NA,-0.110948656671453,-0.199080446159849,-0.0229502749329279,0.105761645779237,0.0354828650703596,0.335497322086969,-0.618093498001693,0.478351528289954,-0.147962615887963,-0.206758266940633,-3.18076424815352,-0.0754817382257684,0.29550097944595,0.0558168299356476,0.730788132119924,0.225994835509919,-0.0969511569658832,-0.0254619549730981,-0.0662959322158508,-0.00694453288281735,0.0201396786099324,0.227798045613325,-0.424102365762186,0.136499339023013,-0.387643770285418,-0.245410671523673,-2.68013661119108,-0.0206793280660138,0.145609434625186,0.933339432445355,0.251063805390149,0.555163060021587,1.15349469996222
1,24,-11325.5517924464,NA,-0.113667792760491,0.0208501648210444,-0.156386249681062,0.0555012563981592,0.0355288951295535,-0.0672618613524734,-0.323823796885421,0.653918300164178,-0.37289934639035,-0.129083813895681,-1.28153437728993,0.0140469578581673,0.554362600001555,0.563009774871171,0.418306049727835,0.904563017897308,-0.222347469256983,0.0111644440032886,-0.0854322930352172,-0.0100693291288038,0.0133359159423631,0.0224810739164273,-0.124511330581827,1.00332302347089,-0.758305194411151,-0.131408753290115,0.150831483572782,-0.0293545013141217,-1.20705527886261,0.673187357499264,0.343719555772841,0.270765022723936,0.45770586305585
1,25,-13609.1702531637,NA,0.0444264677224167,0.0602784986077976,0.0452990206001027,0.161298455889508,-0.00757001227390251,0.228796754429988,-0.563250699928185,0.123772991046785,-0.0913145276052806,-0.186989250167275,-1.12053594816673,-0.0447159208476775,-0.357184557581327,0.0485966433258727,0.541452436181717,0.158915538922884,-0.0205598049278939,-0.0242765834531549,0.000379804129805719,0.13871963785425,0.0440900731138308,-0.0195226260134659,0.277817654413842,0.98934935337404,-0.202608540907363,0.0632371557007292,0.491005359004546,-0.130500270644589,-0.371144057443492,0.7370281275874,0.915879259668291,0.78438581104856,-0.216045353034152
1,26,-10186.3165741271,NA,-0.105257688336533,-0.0431626151098643,-0.0805579141274165,0.0496742553093281,0.00391442842133349,0.30427355624124,-0.56364359765081,0.36695942339149,-0.175641769108593,-0.295090602964937,-1.00191815366485,-0.0653311247650884,-0.504779674896986,0.747878790972754,0.753702301522717,0.348626171112992,0.00620998097513999,-0.126354021959697,-0.0667072271289267,0.130644431471484,0.0285354823453492,-0.0844969564381697,-0.186493415991828,0.395002922553837,-0.212051557046778,-0.242341714414664,-1.06804515987849,-0.158410076279885,0.0719219917488887,0.391210603988729,0.206422060304321,0.34655316030141,1.08154073992333
