"Class_1","Class_2","model"
-2.32343892676737,-1.66937264963754,-1.83604304540503
-15.1523130948133,-20.3673562275903,-15.6745325399199
-12.8414265216308,-14.7871370862442,-13.1680965919546
-2.96454177298114,-1.51935735304713,-1.76005630837284
-4.46813883106571,-7.72962696890951,-4.62462466068313
-9.46605482369012,-8.1251624630515,-8.56783091636148
-2.00387699331362,-3.08810298256482,-2.11249244746419
-8.86007047016845,-7.5518481319694,-7.99020726445578
-15.7024285990648,-5.6151594508011,-6.84316636401773
-17.226809675911,-23.3822320845352,-17.7487903925105
-4.05093842476954,-7.42137777090745,-4.20742524245239
-6.29881166128038,-3.98918730978238,-4.40403630278105
-3.92491871862945,-6.41894057785614,-4.03121216283454
-60.7134718724678,-43.7503460953101,-47.9467676578849
-13.699292990854,-24.8816913677967,-14.1517648720107
-12.1345282467591,-15.8917911458257,-12.6540647655155
-4.15190722439344,-2.8522697779631,-3.07951560408622
-6.0022008367676,-3.90538260841292,-4.4386555970244
-8.47456686431685,-13.0994596605968,-8.72610113389505
-18.7640803013438,-36.3999524046987,-19.7342331251623
-2.12689012259789,-1.14124994770725,-1.36282149633338
-2.27997081725645,-1.93506844111428,-2.08192561375721
-4.73452563642053,-2.06969965001276,-2.315356642807
-7.91862897294438,-15.2981793271769,-8.15063372355226
-4.39073551662049,-4.88212041896203,-4.51905109660584
-7.13888784148292,-2.39641923615186,-2.90575340286887
-2.48746875293707,-2.51531471665007,-2.49848298048223
-6.29994414719976,-7.31665197522313,-6.5027626518806
-4.10097578392464,-2.786241511428,-3.13094234081377
-11.6199372564747,-10.3546419635191,-10.9514367174498
-9.15509476155681,-11.4486528947805,-9.59019819518651
-7.2798994741373,-13.0827350652209,-7.58505791942337
-15.482084850876,-8.94505962534381,-10.7714790165734
-4.47112309887441,-1.96565780232287,-2.37086563554973
-32.2868124833257,-33.1086464678018,-32.5894432962527
-60.2177990709083,-112.365745031088,-62.4328909291108
-4.42583092142467,-2.78041107161524,-3.13840865152073
-4.03851089369133,-6.33285522397162,-4.17624941463449
-2.47671655671685,-4.44948040065861,-2.5830032415612
-5.10258786156244,-4.09025916828798,-4.41554097615397
-6.38679169021017,-9.26534775652906,-6.61781452332867
-11.8753866304142,-10.2324765296914,-10.8680865326481
-9.6489596373424,-6.42315777019592,-6.87360799588122
-5.09430515804867,-6.10035455466851,-5.26202850753249
-65.8527073284937,-134.006221405538,-68.5100526810307
-32.4627772274168,-71.3961034380852,-33.1176182440574
-23.6350901873647,-29.8345953948557,-24.7144835139022
-47.7565185897573,-81.6614618016584,-50.4098885887322
-34.3669413198303,-40.2252555755846,-35.5358286741294
-26.8965821819211,-44.4731341590741,-27.5727607742001
-4.96194939355333,-4.60330843235333,-4.78048235716635
-54.9804191133577,-75.4797130781891,-56.6563265719263
