"b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","lambda_ICE_1","lambda_PHEV_1","lambda_BEV_1","class_intercept_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","lambda_ICE_2","lambda_PHEV_2","lambda_BEV_2","class_intercept_2","logLike"
-0.0331598783554683,-0.0766649419936964,-0.101234767374409,-0.0170922554908968,-0.053870204091834,0.121069694085986,-0.218648091544115,0.262005127642721,-0.343484076746728,-0.169383860701417,-1.28341193989658,0.000188368266549907,-0.405201757458366,0.73138189758507,0.571488941035971,0.753008112437091,0,-0.150731351339515,-0.0885518581538904,-0.14456166058871,0.197076364475531,0.223929466448599,0.152610802998751,-0.269024622444573,0.343627058647285,-0.0388892232986269,0.122079146492399,-0.836951805168648,-0.0712936706029367,-0.183591201880911,0.66576688119353,0.484313233297249,0.738529973272351,-0.389955042434472,-8844.92087418084
-0.0331601927999874,-0.0766629895426583,-0.101234152807058,-0.0171016881219653,-0.0538708614605682,0.121052996528388,-0.218666291816645,0.262008650285048,-0.343501494590905,-0.169367092755506,-1.28338674465345,0.000204874353431561,-0.405193034777017,0.731422928350349,0.571436960294501,0.753021842761272,0,-0.150736593737357,-0.0885529178834396,-0.144566997153454,0.19704710358914,0.223964806707199,0.152633411561552,-0.268968171782558,0.343636928464016,-0.0388979677334329,0.122059740339645,-0.837049010586792,-0.0713354946126594,-0.183652183851818,0.6657611873102,0.484379123025682,0.738553654114816,-0.389992991590563,-8844.92087324296
-0.0331601519742788,-0.0766614650029049,-0.101233794189532,-0.0171367152212671,-0.0538930559848986,0.121060406639035,-0.218670224017112,0.26200724520312,-0.343507313002727,-0.169375677000266,-1.28335713560072,0.000195291147225492,-0.405200146531606,0.731409834176394,0.571472980929512,0.753009404403703,0,-0.150737835668259,-0.0885521170022768,-0.144567350111216,0.197011658910761,0.223965397831696,0.15263513416523,-0.268949516314212,0.343636749737666,-0.0388949247362733,0.122045309146247,-0.837092910686569,-0.0713471150923882,-0.183667882080494,0.665735492327605,0.484403201112704,0.738553859640348,-0.390023677629438,-8844.920871981
-0.0331600544978125,-0.0766576008798469,-0.101233703552558,-0.0171310257686874,-0.0539339115927467,0.121016270135204,-0.218706875703764,0.262004409216847,-0.343487964976157,-0.169376304599992,-1.28336260859075,0.000189295049844,-0.405200347373869,0.731355390299226,0.571470681136389,0.75301544981443,0,-0.150736277735675,-0.0885484950635893,-0.14456507901631,0.196979244572535,0.223947307586111,0.152604213686956,-0.268969857031208,0.343636209643688,-0.0389080815429853,0.12201380403923,-0.837133294692254,-0.0713513921749086,-0.18366779311697,0.665690467156035,0.484381292242828,0.738546732562055,-0.390078597920692,-8844.9208673196
-0.0331596928595094,-0.0766491814203792,-0.101234347484492,-0.0171770061530069,-0.0539447480107907,0.120985014145351,-0.218748162315856,0.262002057709313,-0.343477747475989,-0.16939606647515,-1.28329126006022,0.000173682979038354,-0.405231996548643,0.731378848500973,0.571432863051959,0.753040098051154,0,-0.150730312279567,-0.0885355139523995,-0.144558766880982,0.196966211851716,0.223868061297117,0.152515800381326,-0.26901409580386,0.343611203629035,-0.0389216763985319,0.122002951438164,-0.837044302441129,-0.0713898922146602,-0.183670943005732,0.665701486436214,0.484354689863589,0.738539489133405,-0.39010685557481,-8844.92086000386
-0.033158788318176,-0.0766433632576576,-0.101233329937942,-0.0171986630456272,-0.0539461736770444,0.1209842644834,-0.218729916813066,0.261990524299426,-0.34346333541062,-0.169395434581373,-1.28331019042295,0.000181821495436127,-0.405210736194234,0.731401234075724,0.571421291021462,0.753009900725821,0,-0.150725290263296,-0.0885294230993729,-0.144554531588076,0.196964962010918,0.223819554095691,0.152475782800576,-0.269027894839647,0.343621262282921,-0.0389269367480176,0.122013044331538,-0.837006974706677,-0.071389091850982,-0.183663737079705,0.66572341498586,0.484367503158422,0.73851431689844,-0.390104547222283,-8844.92085400293
-0.0331587074390123,-0.0766387830772164,-0.101240804052386,-0.0170488821353202,-0.0538871482980492,0.121055495677744,-0.21863110759568,0.261996035116376,-0.343489159179488,-0.169371652485416,-1.2833457735306,0.000212833693998154,-0.405217824129074,0.731438383248926,0.571522662452677,0.753100278971686,0,-0.150715591693233,-0.0885154364494924,-0.144544825902969,0.196950812409685,0.223715644985359,0.152469469326147,-0.269081687484623,0.34362264700702,-0.0389905059522417,0.122047153942129,-0.836953765924377,-0.0712558730249347,-0.183629251016313,0.665789111409054,0.484469061500978,0.738494745368204,-0.389974233613271,-8844.92084931728
-0.0331562479620779,-0.0766308316583906,-0.10123951754145,-0.0169679947895066,-0.0537881649316092,0.121141652458794,-0.218507125569011,0.261980115047332,-0.343498944592452,-0.16943641842191,-1.28336566737042,0.000162795829603202,-0.405269231876713,0.731431202726228,0.571482744364005,0.753069867744442,0,-0.150706481556369,-0.0885061906157198,-0.144538480185972,0.196905566685012,0.223761055552071,0.152502757824797,-0.269099811280697,0.343642996913664,-0.0390171887061987,0.122064823971314,-0.836966622078364,-0.0712344547753989,-0.183578747201074,0.665762080180923,0.484413357842017,0.738526177084851,-0.38984667899921,-8844.92084574286
-0.0331559020343546,-0.0766301954731755,-0.101239690757372,-0.0169562379349471,-0.0537720739332045,0.121157459676822,-0.218504136096308,0.261978365024446,-0.34347432184075,-0.169434909852054,-1.28336600606228,0.000170069319167449,-0.405267445009113,0.731446475802619,0.571485398037158,0.753075276780042,0,-0.150700726801303,-0.0885033485650794,-0.144533782638993,0.196904522825028,0.22376922696283,0.152539386432536,-0.269112440448986,0.343629058657243,-0.0390016890184111,0.122065988620867,-0.836969712689743,-0.0712596647467303,-0.183590733712319,0.665721134861243,0.484393915706991,0.738473361170772,-0.389799624164646,-8844.92084558388
-0.0331556500737739,-0.0766303381561945,-0.101239706852557,-0.016962192945934,-0.0537800337533695,0.121147954105876,-0.218490333392443,0.261976776275266,-0.343489965939965,-0.169425736363978,-1.28336859760239,0.000179730834919193,-0.405259693088214,0.731458254695977,0.571489650152478,0.753073844626509,0,-0.150697679563412,-0.0885018695066899,-0.144532380004177,0.196912160793198,0.2237746333931,0.152553332787479,-0.26912101734695,0.343631642151423,-0.0389957446023339,0.122033956210991,-0.836959765900097,-0.0712655354693708,-0.183600747466644,0.665691298489779,0.484382873380533,0.738470439534109,-0.389770278857521,-8844.92084541705
