"stage","candidate","LL","gradNorm","b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","class_intercept_2"
2,30,-9115.24749167929,2328.97159849639,-0.0461223540030159,-0.0563365047152807,-0.15010338456684,0.107957171741503,-0.209761942801995,0.146713591131604,-0.121909205496685,0.394218522048635,-0.335435814372661,-0.366788247443749,-3.27724680269077,-0.026365333578234,-0.489600275028071,-0.0846850641435841,-0.128470296239292,-0.141613749047021,0.037398996132893,0.0600395484292539,0.118234090539711,-0.311908283643977,0.338729996595234,-0.254610937895935,-0.0111138266905558,-0.096225414675382,-0.150799766585181,-0.32190447499913,-0.000736009749360417
2,31,-9045.67382665696,2721.5715573237,-0.0558069635267648,-0.0949155425369435,-0.131169180815813,-0.0210005968963972,-0.13578927603862,0.129364637748125,-0.230391583163806,0.357264627848208,-0.33969020628403,-0.0241779896095455,-1.23706417837966,-0.140212256137873,-0.391454203705111,-0.280570773069058,-0.125463872007872,-0.148986727915951,1.03892270709009,0.561610344260308,0.235084981222806,-0.775641445793185,0.114205777406964,-0.109132445073474,0.557329792438048,-1.01834323920871,0.309362423246442,0.393128348152786,-1.6679420742886
2,32,-8926.30770379924,866.662337788432,-0.199735937596305,-0.123409550614367,-0.179332737564452,0.225361232855307,0.385618649376556,-0.0742145218529902,-0.217683080307364,0.373047993391417,-0.0606978460835753,-0.0119525752237296,-1.15065627039404,-0.105659045127237,-0.441750073483549,-0.0430830031309492,-0.0895915185508067,-0.116881305764926,-0.0132065510075278,0.0707411418436029,0.0469407027090049,-0.322255312766333,0.306621818343392,-0.311940395907771,-0.205215814020603,-1.41780195133047,-0.118724849763364,-0.505941909631939,0.565157486533654
2,33,-9016.83686245808,1739.9066531769,-0.129127146684875,-0.0974849382614578,-0.212807048253689,0.26399549239786,0.264346771399888,0.160900943072648,0.223526255243584,0.254725199683864,-0.26798517520561,0.20310910738409,-1.68870411013922,0.227770933142092,-0.0822434790220315,-0.031334458221378,-0.105239678001609,-0.0927921130201643,0.0216994124776658,-0.0522391050422507,0.0158578315348235,-0.56536461098679,0.402940704098444,-0.254642779960406,-0.198520570248342,-0.998555292798351,-0.0404332387551295,-0.41758911146291,-0.160772385261402
2,34,-8917.61246281157,556.31798210258,-0.193358745157157,-0.0847990334161226,-0.173506136372344,0.134072118040809,0.199548207816791,-0.0277522443693042,-0.0189400278428606,0.411201122080066,-0.126093155853069,0.117656084189796,-0.909049204013522,-0.122561638158773,-0.336238554093117,-0.0405275518918055,-0.0913400695459995,-0.115432603688816,0.0191438832500489,-0.0031157622622525,0.128256340363318,-0.32221490693358,0.312956865023515,-0.365625461654858,-0.142098207054801,-1.46458757879788,-0.0558295055191853,-0.402179328374558,0.479549066031806
2,35,-8954.1045077274,419.33500763134,-0.179836087195242,-0.0891932028407958,-0.154453082324673,0.263300482176262,0.483648507233796,0.257062818599351,0.0943662735043971,0.486162578175937,-0.030117849158031,0.316544650870241,-0.501230302898441,-0.0906956566310081,-0.0701811707914585,-0.040554296432549,-0.115951448066645,-0.11945530766854,0.159472465934481,0.0729076747119745,0.25877336946398,-0.114987729857393,0.346468260973189,-0.450950810944834,-0.142453707993252,-1.56981925306787,0.0230791801774893,-0.405218845440006,0.148523034946836
2,36,-9314.70145436124,47.6364786078001,-0.066515722501716,-0.0897669033487905,-0.123343612901643,0.088261059120049,0.0336844027848859,0.140974247558929,-0.203022205010192,0.311150393044261,-0.277379292550931,-0.093937557521232,-1.18957027415587,-0.0298799053698674,-0.368777099282045,0.270995244836104,-0.638481142167336,-1.94351237085833,-2.13780946522505,1.11932105433485,-1.96809012292478,-3.307023962565,-0.210745847156668,1.57011547556811,-3.82653111774116,0.710657766640963,-5.13694980161872,0.00871800672646672,-5.26515346827023
2,37,-8919.23822433397,667.266296501737,-0.190756815801854,-0.0923322421963494,-0.170710825773403,0.40015069685516,0.387031205233513,0.231647768637787,-0.0746004387765884,0.342864144116287,-0.0686594186868148,0.145610540769046,-1.01660232871432,-0.0313169901650768,-0.259810053174751,-0.0396163064919528,-0.0965284515199663,-0.127651911531975,-0.136569056645787,0.0141446227840018,0.160477082954362,-0.377403908403789,0.323135130278562,-0.2658881589884,-0.118724543556608,-1.44474348548985,-0.034471455008836,-0.453266420062147,0.540829895376083
2,38,-8913.60629664725,828.086185812281,-0.0389958351269408,-0.0945203180588387,-0.122216877367057,-0.0633177797940429,-0.238858579979652,0.0128993529470902,-0.404734678933854,0.313273489152856,-0.320857691556186,-0.143833017007279,-1.40634988014381,0.0113382894231512,-0.446459609208626,-0.189750874753741,-0.0949492979344037,-0.173983239810095,0.419207977238191,0.434881017693955,0.312864270562914,-0.0143327421523473,0.34076062942429,-0.0353499320998326,0.00964965414036742,-1.14489190217699,-0.16453755416289,-0.382116898943573,-0.571470366048161
2,39,-8943.10129818268,1094.59161077857,-0.037313584578414,-0.100746015032195,-0.116513628886755,0.104065379913887,0.0948419261231865,0.165681348453915,-0.216878263568151,0.297582756649336,-0.316545264681225,-0.110546373991877,-1.54943496891185,-0.0899570978466695,-0.543709640478566,-0.175358036888376,-0.097284989403477,-0.146005774342343,0.483906717115875,0.449596791982626,0.463483202625488,0.0445839853771753,0.451282957684896,-0.12029705296373,-0.00312899986330886,-1.00558516493227,-0.46966340685579,-0.265109696532946,-0.396320565132644
2,40,-8950.81099294595,1185.49783464035,-0.0299125054148601,-0.10124654202365,-0.114210251768792,0.0280072600654411,-0.0731992539983352,0.0650325636683809,-0.126351905474462,0.2851189682156,-0.41243787592102,-0.218433510490975,-1.42099483782768,-0.126763310991403,-0.515225063524615,-0.134401323425717,-0.0859577047144691,-0.171659277442575,0.0867337233195989,0.0658382828390192,0.17102195570691,-0.391995167429681,0.395182564412293,-0.214389208236536,0.043144227812531,-1.13498306737422,-0.100977474658614,-0.220478880478345,-0.0293383704782521
2,41,-9072.69426804808,3927.99972444222,-0.0644749223528198,-0.100019708204275,-0.126675217811169,0.309244582642163,-0.102466810634583,0.230186520742943,-0.165340100751211,0.386654003685074,-0.366465828604577,-0.0951655205261484,-1.14659227917002,-0.0263697416933579,-0.317838523944542,-0.476685708322649,-0.150870850787824,-0.345596007327656,0.199275795074257,0.155765833288776,-0.0192077516408628,0.531633725261575,-0.0756740442176369,0.458191717456874,0.92239280548836,-1.00617424922962,1.7284370030343,0.208403885889289,-2.17878930078381
2,42,-8948.10235695207,1448.33872053308,-0.0365421050599773,-0.0992610971364447,-0.11043253143691,-0.059723922497373,-0.0825737124765532,-0.0668093751753848,-0.253286043150992,0.255105648775528,-0.442691042794275,-0.224979566843558,-1.66628776094943,-0.0561349561787846,-0.57780263209843,-0.179798323558705,-0.0574690147949023,-0.187910094930444,0.325092718476742,0.376785434761459,0.0618382701886784,-0.127824104675207,0.289549584250091,-0.205010549511599,0.00431320881829907,-0.970829640303629,-0.195767211343612,-0.185102560040737,-0.408348463544544
2,43,-8927.84436255287,892.755631431001,-0.0457584463157047,-0.0987914022225204,-0.131630341062595,-0.0387325002156309,-0.128078365320379,0.116028077147301,-0.362673699097609,0.343199728393288,-0.44272587558449,-0.153800389523092,-1.24445129669353,-0.0185469790177646,-0.453359796019478,-0.223821491849143,-0.0855786249641547,-0.13498525754158,0.701294844117944,0.614194353295898,0.514683742445676,0.171928353486675,0.325937618379755,-0.00219832931829467,0.126808681474355,-1.22984500589233,0.0536092610747443,-0.233511003706707,-0.678534792313783
2,44,-9021.83588715129,974.090960382782,-0.110387838592961,-0.0743449944006585,-0.184808348393505,0.169289156872532,0.218817727582267,0.371894054764766,0.312262690550589,0.26668403404172,-0.27037830981734,0.137334432790415,-1.60292735243175,0.108332033949428,-0.195198248152097,-0.0318716216080136,-0.121538675125277,-0.0717229033019196,-0.297658991002378,-0.280053179613594,-0.15306762546527,-0.963536046277411,0.429834401654282,-0.176818089515364,-0.164958580033963,-1.0546815006895,-0.259553280957132,-0.545865411328849,-0.336697066156953
2,45,-8959.93514666257,586.484920663447,-0.0522501360406633,-0.0923808693970032,-0.120543508414512,0.244346512929844,0.0492330808984464,0.305480395053461,-0.148160366929182,0.35203634810791,-0.359886695455499,-0.0871792255786226,-1.26319076478157,0.0110079933529271,-0.372998716077231,-0.357660805657709,-0.129132941660497,-0.278277429428915,-0.142174562776631,0.354620790226976,0.120089125298061,0.104492826752169,0.173012030745157,-0.0705205045118455,-0.359584381653277,-1.14753618363658,-0.575650378811399,-0.543270271374922,-1.53392392417537
2,46,-8995.68544237579,3762.90756598281,-0.0325666965989383,-0.0940632159961596,-0.0957272748170857,0.00759235912288732,0.11609963438875,0.210509737825761,-0.25925059491386,0.296202326259465,-0.283187002594427,-0.298292335538071,-1.75957607033138,-0.107152133671186,-0.425226925744962,-0.142316953853001,-0.042519613000241,-0.19342496374965,0.262592578430887,0.202521418602411,0.150951692181783,-0.0916532569653242,0.349839638486336,-0.124811769365959,-0.222572714964729,-0.524283137741348,-0.313836400901327,-0.481000291361418,-0.591703798479714
2,47,-9044.79135068425,3267.28826031038,-0.0902205089080235,-0.08836824225026,-0.14254503871462,0.143510793942497,0.175713669864314,0.248606255506859,-0.489536693774784,0.350468431803953,-0.0169118557385639,-0.0681829040477418,-1.00549421123313,-0.100276497642706,-0.333441537911972,-0.0249225180685667,-0.109767192053289,-0.110990870351062,-0.0878433623213867,-0.265672692391937,-0.0457426000281145,0.0489553441827653,0.289728362846245,-0.430877545787548,-0.303245319016377,-2.06949793143216,-0.204951851008808,-0.954003684005631,-0.858085296824319
2,48,-8985.11089467281,986.415667345314,-0.0446783760011026,-0.0758836743616141,-0.112805913018539,0.0524744773568131,-0.149487520085107,0.248577049585575,-0.18594954261364,0.405230728145046,-0.318269483422656,-0.0488182572615884,-1.12433482011832,0.12525410355095,-0.203848585072473,-0.263447393274946,-0.170749418586971,-0.25052808432272,0.0900086624578761,0.298119132185877,-0.0964582518658778,-0.758496807612064,0.209043717730973,0.344443393680484,-0.215952064655263,-1.24606815889912,-0.110627457931422,-0.595183421715546,-0.947790297322729
2,49,-8944.68155702333,1667.69895700334,-0.0293503803780191,-0.0952873088055736,-0.123424092194694,-0.017531749427953,-0.0991064841255862,0.143639915789631,-0.265999485818069,0.199268203311298,-0.381337969620285,-0.235778821175775,-1.70733160950815,-0.000474881073194171,-0.495605081877665,-0.146672388441778,-0.097783995894696,-0.170504789637154,0.218859944824257,0.158653247050368,0.180333799426002,-0.24305017709532,0.460834475552509,-0.158765328424881,0.0855837602867867,-0.813602827470215,-0.0667446829738531,-0.368875070001763,0.121716130692846
2,50,-8940.05528070459,1665.29515288125,-0.043111373378419,-0.0936253282316831,-0.12537535516245,-0.113674135002001,-0.184038395406051,0.0424350783436529,-0.366708993760902,0.302971756467862,-0.442982707991495,-0.227867568019783,-1.45071953324218,-0.0688057851102971,-0.496665902134525,-0.167139428223294,-0.102403447315974,-0.18997798914965,0.083061193723571,0.134610663846275,-0.0782827297929291,-0.368567733295725,0.474009036439938,0.347935948953806,0.0768376707402532,-0.939292576842049,-0.0213575630281226,-0.282687835449943,-0.467797584566948
2,51,-8994.62219054433,1678.1969852319,-0.038308477087808,-0.0592469188758202,-0.102599934047205,-0.0178607085002192,-0.0103823651041166,0.219702732041126,-0.334439861106802,0.341330461908495,-0.201234127326255,-0.0604365315987579,-1.59410230447895,0.0983692427518272,-0.184697913422638,-0.136692894238476,-0.0958067561737578,-0.191616117348262,0.013488788469407,-0.224269539642491,-0.359570699237219,-0.646204475376711,0.333899866947929,-0.0566913097616617,0.253905778330892,-0.730185115554286,-0.0962453539006847,-0.222491246128852,-0.304987561098835
2,52,-8971.88433809882,1011.55339708238,-0.395833472449862,-0.105997332827795,-0.300674393206679,0.202560190553621,0.759265369230035,-0.279103202191615,0.147616555557058,0.0400535816734209,-0.312627608937843,-0.589840880697914,-1.29764422463347,-0.648177559872635,-0.732289614613446,-0.0562900964884233,-0.0864236670067756,-0.118015734107827,0.152290489838918,0.00617858137901378,0.195446939346686,-0.244967819634385,0.366814363837537,-0.35603207882431,-0.10073280651101,-1.27154357127392,-0.0230744747432043,-0.443656227442621,1.69714340274955
2,53,-9144.86402868279,3931.77427580802,-0.0925630562755003,-0.0866303710998826,-0.188065401385308,0.130122054443538,0.283561638957874,0.346168854080225,-0.00444186940931832,0.393019491474893,-0.21356646207012,-0.0140874534373373,-1.00972464376812,-0.17825713476032,-0.176502491470155,-0.00878201227233743,-0.195100314353281,-0.114264466432482,-0.585198441602839,-0.964268585979911,-0.490227178903078,-1.11632387393552,0.18451724953003,-0.591279866635269,-0.416664522410414,-1.7924803188568,0.0356155668557024,-1.02996210229907,-0.737849834455286
