"Class_1","Class_2","model"
-10.885032215833,-9.69699400572051,-9.99852087628912
-1.05028996064789,-2.42310351419327,-1.25090349131557
-80.6859798082589,-59.6795978178379,-61.995937352456
-5.37025947289501,-3.03082727366107,-3.12800116489813
-13.8362759097785,-18.5092042025574,-15.2498871648099
-9.8613240885971,-19.2605179684221,-11.064207614582
-6.25998609242525,-6.43585339618531,-6.36338803112969
-3.37829822050841,-3.08405258716662,-3.16054545761677
-5.89144641340058,-12.6830353190071,-6.83803636877595
-2.24584950781132,-3.41162609045211,-2.50998136106162
-7.58589678941877,-14.6702396070652,-8.57075198202067
-9.71898883417484,-9.9341896933062,-9.84760190298538
-15.0878223480786,-8.38852615297437,-8.84895585550446
-14.5078837894356,-11.5007917339566,-11.9470243214944
-1.67583775115994,-4.82568079580062,-2.10182984003318
-9.3421873670911,-7.47849034688522,-7.84104818696368
-14.2706527125848,-19.7756595783496,-15.9599984294964
-38.5823598517268,-20.3977230372599,-21.2598273898883
-11.2367254618709,-5.91042101945239,-6.18156886600635
-3.87551880387505,-2.87091397392147,-2.96457411731703
-43.4994266296651,-44.2342220617146,-43.9351853518633
-32.5784016788736,-13.1742060053854,-13.7561016920696
-18.0545378311017,-21.9752916620237,-19.5475574178576
-11.072329136856,-6.27514775560869,-6.39770920559422
-4.15955391414134,-2.27952432293501,-2.37396783109706
-4.51165529614147,-8.07188445144105,-5.21986263759783
-35.1451674581014,-58.5716844709953,-39.9546297546955
-10.7194853212993,-7.87444794736498,-8.17200842284007
-1.47982770462631,-3.09202085533828,-1.67513666519249
-61.4075352984139,-33.943744680988,-34.9347272284368
-38.8902132176805,-23.4779143385856,-24.2824702982306
-11.1883298413642,-8.35111913607514,-8.57393919773796
-4.74261687149957,-3.89784121798768,-3.99297969505871
-8.65284835158851,-12.8354653232629,-9.34794797903255
-7.01253750664968,-12.1411635235174,-7.71013052367608
-7.9060780381566,-6.18123495416297,-6.39735577273536
-41.2769255389896,-21.6048798433971,-22.35125822726
-8.94625190161091,-5.33103571947335,-5.60963632888243
-5.87581500224734,-7.44404135690907,-6.33348219476476
-2.73902240620778,-2.70140911900142,-2.71477334373887
-4.26584918223049,-3.43190812714455,-3.54813187521577
-1.44699742548704,-2.48909342099964,-1.64590000748073
-11.8316490656072,-20.73966962037,-12.9372883833791
-3.73462304099688,-2.59732764833456,-2.71780812100469
-2.767913734579,-2.70013882766133,-2.72311023406068
-1.1314381691341,-2.01645506493513,-1.32292341895057
-0.925369376226511,-2.38562552188048,-1.12055946919085
-4.79686931324628,-4.83034678641636,-4.81726654207583
-3.57173619663184,-2.6137678344257,-2.73232983950342
-16.7445951354458,-7.082750883845,-7.36214315837164
-5.44856634236665,-5.10311223749448,-5.20370482075842
-76.0184805269055,-63.3381682136158,-65.4660722185654
-4.80405872988113,-11.1682144689322,-5.87578289960007
-5.38315647873969,-3.62708843535361,-3.78554037509643
-0.973539531409797,-2.50931746310044,-1.17438880852956
-6.57408682629518,-6.61857178248833,-6.60133271448813
-1.67562408754483,-2.72743274454967,-1.86932196320695
-56.7086368474122,-31.1189329531773,-31.8653149958362
-8.39145191103696,-7.91042532303033,-8.04325531537062
-3.61558002683928,-2.2315278728469,-2.32855435458792
-6.89143988770023,-3.56412354585113,-3.70317846627956
-5.23142649545957,-5.36392390413724,-5.31040590191736
-4.81047586196752,-4.41969136329111,-4.51502270694787
-7.10442416229675,-11.342251560263,-7.92659943191698
-1.92267816069129,-4.07101468961595,-2.19338490318615
-0.684277803173157,-1.820301166673,-0.878563611788631
-37.1609158814048,-17.4902128502027,-17.9669681788853
-4.72086780357292,-6.92104697277352,-5.36678929505845
-4.22911818317378,-5.2383852767003,-4.58479572263015
-9.79340127763706,-4.82439795904608,-5.02410394929041
-2.16868761361023,-4.93231051431424,-2.59289863445557
-7.15888372733862,-9.62605790713071,-8.0095802243293
-7.35092327598027,-10.0319153138709,-8.27838530366802
-4.13777286057861,-5.17948789162538,-4.52053218872365
-18.4526483210366,-16.782143122433,-17.2390200646497
-2.82391565730826,-2.27179037139158,-2.35874990397852
-12.3819187933697,-16.8123104191938,-13.3133993862147
-46.49419558197,-35.495394625853,-37.0039314307991
-5.43405059875109,-14.4025740797053,-6.63651908390882
-2.67394286057618,-3.23764676106004,-2.91223179348689
-3.23340316221414,-6.55394928928581,-3.65852511187696
-6.9068596299554,-7.07585168060597,-7.00410029101856
-19.0198130199748,-25.7988280439469,-20.7311891663091
-7.75161204906376,-4.20109102352571,-4.3304358337164
-2.49178986716692,-2.55620805130969,-2.53015101762792
-64.708025753156,-51.443634417695,-53.5967465750747
-5.75039869132263,-5.73071639530473,-5.73799118031704
-11.1981108379401,-13.1623311881403,-11.9699918175364
-3.42773885422183,-3.43279826021216,-3.43087878046855
-129.379741105639,-63.8744692386926,-66.2358004053925
-21.2780934781038,-14.9138987403343,-15.4461853524862
-12.7523291576093,-8.11739005408972,-8.41917676058969
-1.95217448486885,-3.43599836072927,-2.22091053447475
-13.9704859812896,-7.77225513298733,-8.01102763480663
-4.87114762351525,-3.51657838634678,-3.64475016182622
-1.46891988134219,-2.30641935938639,-1.65936461941459
-5.85552624741022,-8.67187370068351,-6.4676211474201
-19.0838160907398,-9.61005590076031,-9.94767644012999
-6.765412086648,-4.35001631913496,-4.47933707073795
-23.3019136187576,-38.6827998518807,-25.745195172803
-4.70870599287319,-7.45099229088224,-5.31924265434241
-38.2859929150639,-13.0195305170875,-13.4962858478705
-163.530833302458,-89.1681673652651,-91.5295036494653
-5.08403376599395,-4.22131247271857,-4.35102865823115
-18.8291679052347,-18.9810315359448,-18.9210865190618
-9.19109448022763,-4.88544564476307,-5.10894538909015
