"stage","candidate","LL","gradNorm","mu_b_Price","sigma_b_Price","mu_b_Acceleration","sigma_b_Acceleration","mu_b_OpCost","sigma_b_OpCost","mu_b_hev","sigma_b_hev","mu_b_phev20","sigma_b_phev20","mu_b_phev40","sigma_b_phev40","mu_b_bev","sigma_b_bev","mu_b_bevRangeRel","sigma_b_bevRangeRel","mu_b_noBEVFC","sigma_b_noBEVFC","mu_b_american","sigma_b_american","mu_b_chinese","sigma_b_chinese","mu_b_japanese","sigma_b_japanese","mu_b_skorean","sigma_b_skorean"
3,69,-8169.5424649423,718.041783228723,-0.109019514098445,-0.0743653219398339,-0.126279198439912,-0.180003453590724,-0.185237363459904,-0.118380979380661,0.05766270185633,0.711930290641746,-0.0258368092300626,0.296770122111508,0.0621418314629225,-0.164387025051328,-0.380875916263433,1.33997052518332,0.470590853484404,0.510902805374439,-0.427404858914695,-0.473037003031784,-0.137550257834755,0.728213120682163,-1.94851190831926,1.97496941717475,0.0205364010801331,-0.619816381600056,-0.45063662613407,-0.381546324015477
3,70,-8115.39114032979,25.8036110271662,-0.121346796065276,0.0787324844657079,-0.149838445271245,0.166200706320065,-0.181003651349801,0.163590742031003,0.0490116278356744,-0.432747098214079,-0.00372556559487845,-0.228791056696918,0.154501161890538,-0.13489361717223,-0.397158539869075,-1.43667933252508,0.552523712306108,0.564739767494652,-0.401453853105147,-0.360767607443742,-0.111725140396939,0.343505889050991,-1.90268404508499,1.91819658970536,-0.00782110309952313,0.498182513463958,-0.571533631498435,-0.612757572303806
3,71,-8129.28579191419,118.864688592177,-0.116745033442106,0.0839283301430937,-0.13986181158025,0.157538885911495,-0.184248620658349,-0.147017121160009,0.0899199608200761,-0.265615213769055,-0.0204434973585459,-0.193874538820879,0.137687919610373,-0.175279470277673,-0.358736237958232,-1.65062611748999,0.47723716461079,-0.520417290081393,-0.4142044625842,-0.398662080104587,-0.143960411031227,0.675173029084893,-1.99769317476479,1.79661591192002,-0.0619971785396037,-0.77973116340582,-0.60209629989568,0.617474229928648
3,72,-8183.8034773232,91.7857405372286,-0.116019468857854,-0.0918687347655124,-0.138135019636626,-0.195481432010684,-0.188583413279237,0.175477778307524,0.0621782683151174,-0.426025016957123,0.0183865883428608,-0.0313116069976794,0.113471772536527,0.178531427715165,-0.432756357611939,-1.43652866796606,0.488984488261412,-0.461661706276928,-0.412936182520948,0.566055268023697,-0.148432345523138,0.603680311099331,-2.07898686196167,1.92180728705897,0.0366526970046504,-0.331855992087457,-0.524141962815072,-0.727925109057105
3,73,-8122.87143867038,296.954657665273,-0.118689468789442,-0.0842699297385054,-0.145250855663392,-0.172032587565106,-0.192003630169642,0.171959171859898,0.0579980057035349,0.595782252381803,0.0118443982989283,0.390937221332133,0.134211367392433,-0.0804636345215832,-0.418859113212523,1.45455735962746,0.476115377698247,0.580132597443361,-0.358959253237295,-0.283641204475646,-0.157428648103101,0.644493089666448,-1.8794634401718,1.94207683817092,0.0900270450486667,-0.656520443861928,-0.495954269961152,-0.238601034890965
3,74,-8189.57629446477,83.465706667035,-0.109813715018613,0.0818368337814795,-0.143680381516889,0.0976151060873269,-0.185333003969124,0.141927438346286,0.119502754201533,-0.28582267704173,0.0039992944293064,0.178373574657685,0.203189145884573,0.324627717955207,-0.275681782900582,1.42528053171507,0.491325902709395,-0.501228201092787,-0.491237194731618,0.439096152973072,-0.0979323143194707,0.568167469011559,-1.92361645030035,-1.77882167981428,-0.00554384504319743,0.650184426031468,-0.528643641197196,-0.630195597850874
3,75,-8226.01160530873,880.294712446034,-0.104343428340071,-0.0706886512695834,-0.118745524759043,0.169697569636323,-0.18796558539175,0.122628071119049,0.0720123141033063,-0.610229912599355,-0.0332820565116003,0.110667730420886,0.206444381431117,-0.135439342308802,-0.522584839070595,-1.38478550428204,0.454954103826761,-0.383913462105683,-0.40531160731861,-0.333323475138173,-0.126240152932449,-0.398333097861536,-1.84921749883224,1.86257768863742,0.0424201981770469,0.522829192146659,-0.355405324231013,-0.287149291717032
3,76,-8157.16109408912,24.0945243073391,-0.114579487746297,-0.0761577343791105,-0.144917902025747,-0.173871995931243,-0.184676330281645,-0.132318737823631,0.1042888542625,0.367973909986889,0.0107386020560687,-0.293816095659594,0.194028337887374,0.103894282507631,-0.361621674656829,-1.43949066184621,0.498605460617029,-0.492441184672967,-0.369514565989056,-0.236373559049083,-0.182323076267547,0.76302895791273,-2.00214800376766,-1.89236311776726,-0.062862836600435,0.7599619447196,-0.526870677352768,0.428317976045147
3,77,-8123.47124432551,10.9225049009675,-0.122279689222412,0.0897864596473084,-0.153698889171201,0.184560220681983,-0.1910687305739,-0.137910751621998,0.118425878263325,-0.475139702085342,0.0421426399843241,-0.194810688888552,0.166527214324015,-0.203029464600796,-0.359165162872529,-1.50333452130945,0.543641791580574,0.574755109218145,-0.405818128279426,-0.0463195717911421,-0.16084167820481,-0.625925122533425,-1.88802291817491,1.81435875731792,-0.06081830530801,0.423211368551937,-0.620060089784364,0.741022179959258
3,78,-8149.0230595005,25.9854258693286,-0.116602296367158,0.0851582283753866,-0.155805624913519,0.150792620014152,-0.197245905227336,-0.169948173691315,0.15784409153594,0.48192299672094,0.0625528654570555,0.0124399835074797,0.195889520466912,0.0542947293277369,-0.3176471908122,1.52885374794671,0.472746671517155,0.496625179147576,-0.415311218633304,-0.205045360260858,-0.125453551061894,-0.664313394598531,-1.89900237244546,-2.08333742820642,-0.0433386743145711,-0.692457124932086,-0.56969514063151,-0.693326925474367
