"mu_b_Price","sigma_b_Price","mu_b_Acceleration","sigma_b_Acceleration","mu_b_OpCost","sigma_b_OpCost","mu_b_hev","sigma_b_hev","mu_b_phev20","sigma_b_phev20","mu_b_phev40","sigma_b_phev40","mu_b_bev","sigma_b_bev","mu_b_bevRangeRel","sigma_b_bevRangeRel","mu_b_noBEVFC","sigma_b_noBEVFC","mu_b_american","sigma_b_american","mu_b_chinese","sigma_b_chinese","mu_b_japanese","sigma_b_japanese","mu_b_skorean","sigma_b_skorean","logLike"
-0.124297961070392,0.0857745576654773,-0.137375825845576,-0.180055553086426,-0.191014930499302,-0.152562890281277,0.0900533854064764,0.460640249044905,0.0400976938385913,-0.185932318540514,0.198899005162178,0.14755356634534,-0.240001917868905,-1.49122905143976,0.485344477782526,-0.537339900985545,-0.400270150001986,0.227126812894831,-0.143120458655406,0.855357156718816,-2.11411094275458,-2.12002813401119,-0.0715046654234306,0.741631885045742,-0.524729765870919,-0.107871358400245,-8100.44384258264
-0.124297987558436,0.0857748615196711,-0.137375760075895,-0.180051714008466,-0.191015747751728,-0.152562135276607,0.0900036309135176,0.460624111925709,0.0400947484515255,-0.185963213175625,0.198959548297545,0.147533428705936,-0.240015915874992,-1.49124379699485,0.485375373965864,-0.537388731346195,-0.400238924159263,0.227117395603298,-0.143095907395446,0.855311377680228,-2.11409732128164,-2.11999365730948,-0.0715359243005038,0.741692234868681,-0.524686001680586,-0.107666363973241,-8100.44382063701
-0.124295848193203,0.0857728922162552,-0.137374437980476,-0.180047016907085,-0.191014256907745,-0.152560386033792,0.0899525019384046,0.46058799147117,0.0401018044503137,-0.18595539572563,0.198996764561631,0.14748359889588,-0.240009681724126,-1.49126855213705,0.485322982771265,-0.537303120691145,-0.400209263592394,0.227089014998602,-0.143100657691331,0.855250331896284,-2.11409204829774,-2.11997211849194,-0.0715356081472571,0.74171493839536,-0.524705881787495,-0.107483151612572,-8100.44380815872
-0.124294613402775,0.085772090562326,-0.137372620934257,-0.180037336379828,-0.191015778046141,-0.152567917763764,0.0899672790305832,0.460412806201598,0.0401343465342761,-0.185824875368748,0.198859337406654,0.147267643912061,-0.239915204007031,-1.49132996982174,0.485365550848725,-0.537358171228818,-0.40017888034295,0.226896749333893,-0.143203903385138,0.855115862449391,-2.11408556188094,-2.1199419610648,-0.0714759505927872,0.741551785880611,-0.524945215589327,-0.106989033185435,-8100.44380815011
-0.124294362179059,0.0857718541034766,-0.137372443806535,-0.180036938933131,-0.191015362013135,-0.152567225091414,0.0899843739623755,0.460392332127478,0.0401260930983458,-0.185808598858093,0.198846715956273,0.147240782063375,-0.239910043314627,-1.49134378495902,0.485360789732306,-0.537352781937421,-0.400201197516805,0.226874173268168,-0.14321778924201,0.855129402322075,-2.11409067134519,-2.11993958673012,-0.0715072158777858,0.741528681140339,-0.524929710204613,-0.106948890162465,-8100.44380519881
-0.12429508386602,0.0857714100221275,-0.137372409410575,-0.180040396719968,-0.191014747497786,-0.152565603095147,0.0899661503414015,0.460342364202882,0.0400860487043459,-0.185772935222527,0.198868333396617,0.147179954328386,-0.239857505143566,-1.49136844053267,0.485370787478386,-0.537350378186195,-0.400220785082659,0.226820195242457,-0.143211482512227,0.855262490420818,-2.11413543954383,-2.11992326657724,-0.0715184869244193,0.741573906601589,-0.524959684210273,-0.106918131959368,-8100.44379832174
-0.124295906412466,0.0857708453535649,-0.137374147136423,-0.180042851606719,-0.191012068924933,-0.152563967464068,0.0899410059202927,0.460339354807436,0.0401816533566268,-0.185776999815105,0.198877263713873,0.147145533050065,-0.239881575582706,-1.49141162170531,0.485375274925791,-0.537356447902311,-0.400226981141903,0.226808196747876,-0.143272903733674,0.85533271442401,-2.11417986670222,-2.11995266050639,-0.0714914059880025,0.741598848693633,-0.524937445127649,-0.106917934044193,-8100.44378459285
-0.124295756052108,0.0857674042666818,-0.137380461859828,-0.180055943296216,-0.190995572506689,-0.152555039915118,0.0899495007757054,0.460432974806904,0.0402583857693256,-0.185835711220787,0.199039279804154,0.147088976740989,-0.239873688629407,-1.49151060962853,0.485401774881292,-0.537353865000758,-0.400106482323501,0.226841111748296,-0.143231956755895,0.855369130204955,-2.11430327033341,-2.12019189181958,-0.0715977432500816,0.741485525470539,-0.524980464156639,-0.106987342430438,-8100.44371139296
-0.124287584903052,0.0857553530470365,-0.137388781471834,-0.180067041337367,-0.190946161434234,-0.152527850753582,0.0898278417840819,0.460545484500027,0.0399319060628394,-0.185863350554732,0.199312450855744,0.147188308583182,-0.239647261079942,-1.49122248589825,0.485468328529414,-0.537344057420542,-0.400440534924208,0.226919208708951,-0.143542964495308,0.85508893839401,-2.11442884667704,-2.12043004387693,-0.0714235982580119,0.741434826812377,-0.524827793403373,-0.107141047180726,-8100.4436486601
-0.124280202922828,0.0857483111352461,-0.137395719389748,-0.180066084705009,-0.190921856873873,-0.152514569855966,0.089444287606779,0.460447849033532,0.0400309971719518,-0.185716012815202,0.199099850716236,0.147408965309257,-0.239544448391152,-1.49101159768207,0.485496878103745,-0.537307156436482,-0.400629764508415,0.226921224831958,-0.143399833097736,0.854963379432193,-2.11421261033084,-2.12022018697001,-0.0716015035978805,0.741420001306854,-0.524785182764877,-0.107287919801298,-8100.44363130727
-0.124276401189717,0.085744708632374,-0.137395210312058,-0.180073688106113,-0.190910890984278,-0.152507536772131,0.0893756128080929,0.460324164728359,0.0399136496254484,-0.185589763325373,0.199071719985427,0.147519496086839,-0.239736532528188,-1.49107756244105,0.485488971884192,-0.537300380447474,-0.400530873027512,0.226910026929627,-0.143403664866975,0.854957946185462,-2.11394618682803,-2.11986909770621,-0.0715505005328717,0.741340180653233,-0.524732099855679,-0.107405442315408,-8100.44360984178
-0.124274958665436,0.0857437065647558,-0.137394015145537,-0.180073229772881,-0.190907675371074,-0.152508343551742,0.089390038959473,0.460300237642163,0.0399331782470559,-0.185630148795135,0.199077860908838,0.147461856226799,-0.239762622188417,-1.49100811720429,0.485481647783465,-0.537291881423593,-0.400505982579759,0.22687911902804,-0.143338718299172,0.85495589260321,-2.11397040665074,-2.11976145703245,-0.0715008315391038,0.741282324107905,-0.524683436690252,-0.107431494271258,-8100.44360794962
-0.124274473462269,0.0857431799971905,-0.137394136564266,-0.180072177904887,-0.190906908145861,-0.152509028170331,0.0894064324873247,0.460287167443757,0.039947686560345,-0.185684477727294,0.199089842303721,0.147427340872734,-0.239746730090164,-1.49100936023307,0.485482880866502,-0.537289386300523,-0.400506684562846,0.226854959090481,-0.1433424536508,0.854948969105354,-2.11393394679985,-2.11974024723559,-0.0715073220176411,0.741288133729866,-0.524687342418617,-0.107453011137849,-8100.44360643942
-0.124279859139447,0.0857461584486638,-0.137399342577068,-0.180083021999558,-0.190913233270446,-0.15250659110814,0.0895819572422114,0.460239535460705,0.0401499403726152,-0.185621401151109,0.199261676853008,0.147265748542308,-0.239536119171663,-1.49147453051747,0.485512135543025,-0.537312079598739,-0.400466067793518,0.227050146605707,-0.14316441697717,0.855001253537664,-2.11400078386282,-2.119842106048,-0.0713966355391045,0.741257583095151,-0.524588497439784,-0.107481053076745,-8100.4435916943
-0.124280876228146,0.0857456966727915,-0.137397407457989,-0.180087522094745,-0.1909113684476,-0.152503903820308,0.0896648493293828,0.460289292478472,0.0402427102983775,-0.185587926906318,0.19937701065962,0.147265548038886,-0.239606404129163,-1.49143984549744,0.48549998827181,-0.537309790366071,-0.400339078460212,0.227023355823269,-0.143217432220772,0.855158994482755,-2.11402576595051,-2.11996174488659,-0.0714625454824808,0.741234395976555,-0.524639782683317,-0.107435335495639,-8100.44356976418
-0.124281454090652,0.0857460836068453,-0.137399676486747,-0.180089652245364,-0.190912098687581,-0.152506861288546,0.0895897152844889,0.460342346811522,0.0401777494303306,-0.185668378527917,0.19931124541081,0.147248518099027,-0.239698229589518,-1.49150468637892,0.485502132092059,-0.537312286914026,-0.400317915489759,0.226966478426569,-0.143247904409014,0.855157948815862,-2.11413803407126,-2.11997134041116,-0.0715102389710051,0.741235547041063,-0.524682782181973,-0.107448475781131,-8100.44356421183
-0.124281584447929,0.0857460942462683,-0.137399876812179,-0.180089255352772,-0.190911913699012,-0.152506739626834,0.0895758130890369,0.460314048130664,0.0401629780176289,-0.185678056081821,0.199295677746607,0.147231336207019,-0.239720325225865,-1.49149754175373,0.485501684977325,-0.537313272140108,-0.400311648007743,0.226974262049045,-0.143241694411733,0.855160533142038,-2.11413222387644,-2.120002152833,-0.0715062893058801,0.74123905549766,-0.524677296476753,-0.107451580361323,-8100.44356383004
