"Class_1","Class_2","Class_3","Class_4","model"
-17.4853616680227,-32.3970467673385,-80.7328275920663,-41.9438378351009,-21.0382837045024
-4.06510090453672,-1.44971002094735,-5.55034061021983,-3.82366513418307,-1.65342492560948
-7.92857498969056,-6.33899845152236,-3.30223331117561,-6.80508562581998,-4.04549416794611
-5.46043407817731,-4.42292744465958,-3.94698901604081,-4.28229416842084,-4.24574204815138
-17.0592017649228,-8.53447641961485,-29.8043711529946,-16.8084238866643,-9.56245656489158
-11.2397223911851,-13.5514346052451,-19.0982013430244,-10.262104499896,-11.1761259509599
-25.7388737586442,-18.2884513351116,-20.890707672428,-16.0196949312343,-17.600050885869
-6.99024881616397,-5.66483271421081,-14.0226753623363,-9.49296329141808,-6.28362472789068
-2.10709887832559,-2.79250274970862,-2.21415166031924,-2.94361853963299,-2.30645539148123
-11.0047343057044,-3.89185220107522,-10.2149375879167,-7.32726598468564,-4.33531693077101
-1.62401514622432,-1.44179611001813,-1.89010500932774,-3.03865011268222,-1.59366863673942
-1.89462107675269,-4.50258317297365,-4.3632234468518,-2.52396491616275,-2.18975522971731
-6.44973553500135,-7.81193766697815,-7.77649670592047,-2.85810414069295,-3.19065759458514
-2.86987329541369,-1.57608799994644,-3.59060673945872,-3.07171694563116,-1.77954996221706
-3.36222331973895,-1.06065675822937,-2.22238632670156,-2.56151493448458,-1.26393370893255
-7.73595430761922,-2.83898188688205,-5.7937755232425,-4.66311436428227,-3.26649967206643
-14.6285947020702,-12.6532704027667,-15.8534959550594,-7.80592193435079,-8.52997827852869
-5.39130712221897,-3.46959022813871,-4.30427601246652,-6.37301496814055,-3.8619175273991
-23.2676466323069,-19.7459080264421,-34.1594304266498,-12.7217379091694,-14.3651140029418
-1.9348850355867,-2.53792107570727,-3.62357879773918,-3.08844543136787,-2.22129302921998
-9.31671604282826,-8.75817624156595,-12.8886450018232,-6.1001181263586,-6.80151246324262
-17.2867443112323,-9.18381175208975,-25.0601649042248,-12.874885426755,-10.1607220907916
-21.279721502285,-29.5482982943793,-19.9244425583506,-15.1592064084874,-16.7619801493173
-4.35243182261618,-2.21153809672102,-3.74271260149684,-3.34898045858339,-2.41483580704202
-8.54325677916469,-6.87183581823711,-6.34459899606205,-5.81802059849916,-6.34778548175877
-13.6719680127334,-6.57063077978427,-24.4409401006364,-8.39785283176037,-7.27022802652289
