"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","Class_7","Class_8","model"
-8.67201350424919,-6.3995295873417,-2.78324834908052,-4.35643124577029,-6.86246320438296,-38.8504043893754,-5.84479130554603,-15.6025457175189,-3.34978383321261
-19.598360301353,-13.9370012311364,-14.6057164770012,-6.04972222764617,-15.7762386138877,-87.0958553682161,-10.5765442126507,-8.85301260035802,-6.98508341109501
-13.6483283936702,-9.56915040994358,-17.02164808475,-8.22541607373616,-24.79944665568,-23.060014309525,-13.291277786461,-18.4657038420794,-9.38495142455281
-3.22322046792382,-2.95069512807737,-3.88168140045924,-2.59508710606474,-2.81037169230459,-13.008479723913,-3.20422670626718,-5.23876240400907,-2.90244558902324
-5.41037798993346,-2.57411417745371,-6.68507339802022,-4.0765554667467,-3.82527850767602,-9.36685338213116,-5.45568633444457,-5.667656211861,-2.92393643725242
-10.298343909571,-8.78866488411801,-9.9862773969888,-13.9866736567023,-14.5034888737804,-48.3186393763937,-13.2336928480629,-14.7547956722618,-9.80957797696029
-5.6695041111096,-2.73066501384546,-5.73686021579076,-3.80752829359085,-4.34285206993607,-7.36981339069152,-6.68952413468203,-8.47304116256428,-3.10259023660825
-6.25563277408942,-4.93434060132382,-12.7577769092103,-7.3705517549924,-9.04794729842245,-7.2836166597043,-6.80171679962139,-14.9814972358768,-5.55068609896033
-12.7375622145144,-11.1690969375091,-9.91619017455806,-11.2945917993829,-6.5398266248802,-64.3000943559467,-16.541847774398,-18.462082890362,-8.496977886154
-4.68004173610964,-4.32680825422589,-2.26540899180716,-2.96522707489108,-3.02404106321504,-27.061617969452,-4.21570284561011,-8.58700234095586,-2.60511120682422
-20.1372538942759,-75.7088487641131,-79.9766357471771,-67.1282796373626,-33.6688042996495,-434.613529155252,-84.8868335642158,-91.2171201909326,-28.7974270267089
-49.9527368656737,-21.490089588969,-26.1659152082424,-32.5992296549196,-44.5437659907915,-43.9723083101947,-52.591702831759,-102.879516663749,-24.1677706939181
-17.0280945648414,-8.99569653289161,-12.6396361682192,-12.1948870501091,-6.40511760413102,-53.0917387686197,-19.0612634622891,-30.665988943454,-8.87024392494896
-4.29995526616582,-1.12388256968077,-2.41729388109903,-2.4117874090971,-5.01615447191648,-1.55665994920338,-4.38015332412734,-5.72112058051402,-1.3944229611081
-42.0675282894411,-33.5328128109497,-93.3056828281828,-66.6522457767928,-61.8128968110393,-10.5648629106274,-72.6338511843513,-111.705708648329,-21.1535282432831
-5.98860542642594,-3.42654672967909,-9.25943297958992,-7.3943051829369,-10.4590984785422,-0.194407644329479,-9.28951885195893,-19.6060243959868,-1.48339780387309
-28.8460664631678,-12.8254270473063,-16.2988109415671,-21.5218777070241,-30.4445664367978,-52.092706038416,-36.7343182996351,-52.0218237639981,-14.8393825109987
