"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","Class_7","Class_8","model"
-27.9543184655025,-12.8608008875866,-10.1008710629388,-16.45403877074,-45.7960185740558,-43.5949460403266,-24.2811005846073,-21.6933597863581,-11.810463801953
-5.6189667137298,-4.04878017888462,-6.60210460137976,-6.16056947235351,-9.72455657974255,-3.55179675771203,-9.49444048457399,-10.4458376239864,-4.43860548725808
-3.55812292804021,-2.26211833316347,-1.85557039765636,-3.62648275126694,-7.76514705587768,-12.7939199824803,-3.58128343500886,-2.30176766673596,-2.2836032621049
-5.85995300672868,-4.03016286108458,-4.93342645685921,-3.85101203230674,-4.820509486581,-24.1503159544524,-5.35168227706502,-4.53935549407626,-4.24674797928052
-1.50721833921784,-2.05157000358897,-2.9654400486484,-2.78679288701432,-4.06020939896122,-3.14553273652795,-2.6310256530766,-6.45998924906853,-1.82156024184857
-13.8658552397125,-6.78791864140126,-5.55053581973507,-9.2851961060264,-20.4902484764721,-23.6030066740835,-10.7603196449861,-20.1496227902182,-6.6238364222306
-8.369417602679,-5.7800030424989,-6.31792680108119,-4.10762522971843,-9.27949419019742,-41.1844433368607,-5.27425273721844,-3.8374070770826,-4.48338606987296
-52.0819683455033,-23.7972748154829,-45.8412806873111,-37.6630343509122,-55.7712676151614,-16.9306752226476,-54.4248737811289,-72.226972268172,-23.1246058421693
-178.312462359547,-137.461572233811,-155.027821748583,-75.4635264363794,-174.32259123906,-Inf,-133.032912901885,-43.0263545530253,-58.7981245198432
-6.90668360419654,-4.81168435517415,-4.77147914982759,-3.78671507601942,-10.6949236951476,-35.2706010756629,-4.49550887950447,-6.66756062192366,-4.32446698632136
-1.25454994895371,-1.82708212404358,-3.70667067835264,-2.55846032979524,-3.42894466147716,-7.90287553743698,-4.17452716630721,-3.52143986476735,-1.57096927418838
-22.4859638156642,-13.464365997161,-20.9682256823654,-11.3137575397018,-27.2457138971556,-83.289007989899,-20.3778859396359,-29.2773889315528,-13.1467718589189
-20.1856572396683,-15.2045657342816,-25.1760517078285,-9.82877913298384,-16.1365056011354,-72.6264715063038,-22.1933782083668,-19.8197817835507,-11.1377064967321
-3.81662084748446,-1.18505031393427,-3.47902326884419,-2.63517560042632,-6.02855014264931,-2.21579868694139,-4.0607138558583,-7.11590396653041,-1.66463403340367
-6.78749727380802,-8.49287591551638,-6.49685071436835,-5.09958477841392,-8.10782470388916,-44.7908673616821,-3.78922163928982,-8.62966292052965,-4.36187010138096
-19.2232911870821,-8.75182604568463,-3.19247752118743,-10.5491989120618,-38.6588868483854,-60.9578022196397,-8.8298778834672,-16.4362143718484,-4.27077994887749
-2.12911511557125,-3.08270819464138,-3.86502476402818,-2.49462430258021,-1.72945347358144,-19.8979704676112,-2.82107321144597,-2.92597761683498,-2.18475230845324
