"row_num","gen_method","b_Price","b_Acceleration","b_OpCost","b_hev","b_phev20","b_phev40","b_bev","b_bevRangeRel","b_noBEVFC","b_american","b_chinese","b_japanese","b_skorean","lambda_ICE","lambda_BEV","alpha_PHEV_ICE_logistic","LL1","LL2","LL3","LL4","LL5","LL6","gradNorm1","gradNorm2","gradNorm3","gradNorm4","gradNorm5","gradNorm6","stop_ef","stop_status","pruned_optima_row","end_conv","end_LL","end_ef","end_outcome_status","end_index"
12,"logit_random",0.0119250445977048,-0.0829240458664507,-0.277316080229864,0.0929837391404516,0.0236499043084351,-0.135861591463261,0.0366566405786292,0.0853094305974864,-0.194906881377083,-0.229529270218293,-0.274713988960326,-0.14104192225175,-0.186457331519967,0.243917012554593,0.941509981234558,-0.325869492245336,-14920.3095336594,-9286.42518598743,NA,NA,NA,NA,NA,112.236779540735,NA,NA,NA,NA,0,"pruned_test1_too_close",45,1,-9285.92252182874,3,"test0_worse_conv",94
13,"logit_random",-0.0235354193568555,-0.135983011900542,-0.251308872131483,0.257138373878214,0.032457458464313,-0.121480950701091,-0.461702631617235,0.276988687423819,-0.0209034544781351,-0.101937335493971,-2.58602590134598,-0.0847227389438767,0.064957293745821,0.284573643887416,0.508084192220122,0.679161528926006,-14691.2606930869,-9301.05873089218,-9285.91618729053,NA,NA,NA,NA,1310.07016542646,0.0604921251948183,NA,NA,NA,4,"dup_best_test0_conv",4,1,-9285.91618511744,1,"best",4
14,"logit_random",0.0194797351503173,0.0715354533960555,-0.2968212068271,0.103190993128058,0.0709388398020382,-0.103052472464117,-0.197661050658359,-0.0123392839733669,-0.25200939347501,-0.193267364649529,-1.2223900238944,-0.13127896121978,-0.388212283879798,0.195759694571607,0.723266109372489,-0.198699120665715,-17626.9843276222,-9287.64235812459,NA,NA,NA,NA,NA,138.36543570071,NA,NA,NA,NA,0,"pruned_test1_too_close",44,1,-9285.91618511744,1,"best",4
15,"logit_random",-0.053565761945061,-0.0491724694359778,-0.191989496214545,0.155568154022611,-0.00461400094506979,0.156720615508058,0.17919470473392,0.173249624011332,-0.0824773513039554,-0.00567485429403736,2.02374284350926,-0.0492039367138917,-1.19414652691998,0.0999999004974961,0.908854909809306,0.475460050600441,-26654.4601752258,-9371.49127263059,-9325.52816039998,NA,NA,NA,NA,308.76124733258,0.0241622289541004,NA,NA,NA,3,"test0_worse_conv",0,1,-9325.52816039998,3,"test0_worse_conv",15
16,"logit_random",0.0389964983824896,-0.204146136436769,-0.166861724173665,0.0564605405806175,0.0339303522555182,0.255327910044233,-0.141836629235888,0.646036299993212,0.0673618536460235,-0.130911279809532,-1.28035601800897,-0.0370064029949582,-1.03083835888006,0.13474728374742,0.544604192203842,-0.579460418173402,-23759.223441178,-9294.10480355302,-9285.91618667326,NA,NA,NA,NA,135.01587588525,0.231898452376579,NA,NA,NA,4,"dup_best_test0_conv",4,1,-9285.91618511744,1,"best",4
17,"logit_random",-0.0696006995384394,0.0133959514026156,-0.0411325700302075,0.0823877388536409,0.0240276411896053,0.282650452017381,-0.144151895471512,0.211847431037675,-0.548005002780358,-0.0159918802068074,-1.64467260764266,-0.062711587361955,-0.559534706603868,0.872272526132874,0.111122147338465,-0.204948096560344,-19343.7443394321,-9491.92031528769,-9286.09231026691,NA,NA,NA,NA,3193.5798290085,135.935904200999,NA,NA,NA,0,"pruned_test1_too_close",39,1,-9285.92252182874,3,"test0_worse_conv",94
18,"logit_random",-0.0106546115804034,-0.00687403470110205,-0.174834803315553,0.134465983820282,0.0296829676066257,0.0261773251989581,-0.380077999135782,0.179135101920185,-0.0622163362500894,0.0332681401656361,-0.28144105005009,-0.0384719516158043,-0.274976106725655,0.754718561274931,0.810028526354581,-0.364864805170752,-10947.8993720693,-9286.61039913971,NA,NA,NA,NA,NA,385.043543678407,NA,NA,NA,NA,0,"pruned_test1_too_close",27,1,-9285.92252182874,3,"test0_worse_conv",94
19,"logit_random",-0.0554488140775502,-0.125633840672868,-0.196317540606642,0.121510997660085,0.0126211968033934,0.0933761901088763,0.315178369231409,0.372937905193187,0.256239817013093,-0.211281074460377,-0.214251303543499,-0.151678864141618,-0.326305587533153,0.42053719655145,0.932533342652023,-0.566712671960334,-10750.1403650158,-9286.07404196702,-9285.91618523827,NA,NA,NA,NA,57.1784592224989,0.00366642562422052,NA,NA,NA,4,"dup_best_test0_conv",4,1,-9285.91618511744,1,"best",4
20,"logit_random",-0.0246724336891311,0.0928447828879054,-0.281175193618649,0.140077057306027,0.0426076017844324,0.207210901877177,-0.216270778966504,-0.0298838232561201,-0.645121354601779,-0.110260030228919,0.962036835714704,-0.0338222867235581,-1.15896718583102,0.291402987320907,0.639501012242399,0.310933585127858,-17595.4209700301,-9292.74139221768,-9285.91618659022,NA,NA,NA,NA,445.058995570297,0.164153527225389,NA,NA,NA,4,"dup_best_test0_conv",4,1,-9285.91618511744,1,"best",4
21,"logit_random",-0.024169129676555,-0.104030695548737,-0.0926644989606366,0.0780644680035071,-0.00366195637015529,0.187870794573531,-0.435394502029645,0.348332955524096,-0.0310872964830466,0.0145823309688296,0.0749560292699367,-0.0880721988355382,-0.346832455904872,0.702445471612737,0.637183884652331,-0.318387917219589,-10735.2795163489,-9286.6258498265,NA,NA,NA,NA,NA,57.2323747731162,NA,NA,NA,NA,0,"pruned_test1_too_close",18,1,-9285.92252182874,3,"test0_worse_conv",94
22,"logit_random",-0.0210397454746102,-0.184647231588183,-0.170379100922395,-0.0427451356177151,0.0197457514060354,-0.332539200067357,-0.405563831025354,-0.141969910892968,-0.148811183850136,-0.0293627716076242,-1.30843606105943,-0.0824375775768003,-1.06444281319364,0.345048877596855,0.151578315692022,-0.470959050031099,-19304.894653004,-9290.68882233699,NA,NA,NA,NA,NA,154.187388118872,NA,NA,NA,NA,0,"pruned_test1_too_close",55,1,-9285.91618511744,1,"best",4
23,"logit_random",-0.110948656671453,-0.199080446159849,-0.0229502749329279,0.105761645779237,0.0354828650703596,0.335497322086969,-0.618093498001693,0.478351528289954,-0.147962615887963,-0.206758266940633,-3.18076424815352,-0.0754817382257684,0.29550097944595,0.0558168299356476,0.730788132119924,-0.391995732905181,-23932.3517573394,-9457.28886493734,-9325.52720588282,NA,NA,NA,NA,838.240895866661,0.324770345586291,NA,NA,NA,3,"test0_worse_conv",0,1,-9325.52720588282,3,"test0_worse_conv",23
